Title 电影,Director 导演,Rank 排名,Year 年份,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
Snow White and the Seven Dwarfs,,🎉049,1937,[白雪公主和七个小矮人 Snow White and the Seven Dwarfs](https://movie.douban.com/subject/1297756/),🌟8.4,"导演: 威廉·科特雷尔 / 戴维·汉德 / 威尔弗雷德·杰克逊 / 拉里·莫里 / 佩斯·皮尔斯 / 宾·沙普斯坦, 主演: 阿德里亚娜·卡塞洛蒂 / 哈利·斯托克维尔 / 罗伊·阿特威尔, 类型: 爱情 / 动画 / 奇幻 / 歌舞, 制片国家/地区: 美国, 年份: 1937",[Snow White and the Seven Dwarfs](https://www.imdb.com/title/tt0029583/),🌟7.6
Butch Cassidy and the Sundance Kid,George Roy Hill,🎉050,1969,[虎豹小霸王 Butch Cassidy and the Sundance Kid](https://movie.douban.com/subject/1297602/),🌟8.6,"导演: 乔治·罗伊·希尔, 主演: 保罗·纽曼 / 罗伯特·雷德福 / 凯瑟琳·罗斯, 类型: 冒险 / 犯罪 / 剧情 / 西部, 制片国家/地区: 美国, 年份: 1969",[Butch Cassidy and the Sundance Kid](https://www.imdb.com/title/tt0064115/),🌟8
The Philadelphia Story,George Cukor,🎉051,1940,[费城故事 The Philadelphia Story](https://movie.douban.com/subject/1292840/),🌟7.4,"导演: 乔治·库克, 主演: 加里·格兰特 / 凯瑟琳·赫本 / 詹姆斯·斯图尔特, 类型: 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1940",[The Philadelphia Story](https://www.imdb.com/title/tt0032904/),🌟7.9
From Here to Eternity,Fred Zinnemann,🎉052,1953,[乱世忠魂 From Here to Eternity](https://movie.douban.com/subject/1298656/),🌟7.5,"导演: 弗雷德·金尼曼, 主演: 伯特·兰卡斯特 / 蒙哥马利·克利夫特 / 黛博拉·蔻儿, 类型: 剧情 / 爱情 / 战争, 制片国家/地区: 美国, 年份: 1953",[From Here to Eternity](https://www.imdb.com/title/tt0045793/),🌟7.6
Amadeus,Milos Forman,🎉053,1984,[莫扎特传 Amadeus](https://movie.douban.com/subject/1293399/),🌟8.7,"导演: 米洛斯·福尔曼, 主演: F·默里·亚伯拉罕 / 汤姆·休斯克 / 伊丽莎白·贝里奇, 类型: 剧情 / 传记 / 历史 / 音乐, 制片国家/地区: 美国/法国/捷克斯洛伐克/意大利, 年份: 1984",[Amadeus](https://www.imdb.com/title/tt0086879/),🌟8.4
All Quiet on the Western Front,Lewis Milestone,🎉054,1930,[西线无战事 All Quiet on the Western Front](https://movie.douban.com/subject/1295116/),🌟8.9,"导演: 刘易斯·迈尔斯通, 主演: 路易斯·沃海姆 / 刘·艾尔斯 / 约翰·雷, 类型: 剧情 / 动作 / 历史 / 战争, 制片国家/地区: 美国, 年份: 1930",[All Quiet on the Western Front](https://www.imdb.com/title/tt0020629/),🌟8.1
The Sound of Music,Robert Wise,🎉055,1965,[音乐之声 The Sound of Music](https://movie.douban.com/subject/1294408/),🌟9.1,"导演: 罗伯特·怀斯, 主演: 朱莉·安德鲁斯 / 克里斯托弗·普卢默 / 埃琳诺·帕克, 类型: 剧情 / 传记 / 爱情 / 歌舞, 制片国家/地区: 美国, 年份: 1965",[The Sound of Music](https://www.imdb.com/title/tt0059742/),🌟8.1
M*A*S*H,Robert Altman,🎉056,1970,[陆军野战医院 MASH](https://movie.douban.com/subject/1292766/),🌟7.9,"导演: 罗伯特·奥特曼, 主演: 唐纳德·萨瑟兰 / 埃利奥特·古尔德 / 汤姆·斯凯里特, 类型: 喜剧 / 战争 / 剧情, 制片国家/地区: 美国, 年份: 1970",[M*A*S*H](https://www.imdb.com/title/tt0066026/),🌟7.4
The Third Man,Carol Reed,🎉057,1949,[第三人 The Third Man](https://movie.douban.com/subject/1295451/),🌟8.2,"导演: 卡罗尔·里德, 主演: 约瑟夫·科顿 / 阿莉达·瓦利 / 奥逊·威尔斯, 类型: 黑色电影 / 悬疑 / 惊悚, 制片国家/地区: 英国, 年份: 1949",[The Third Man](https://www.imdb.com/title/tt0041959/),🌟8.1
Fantasia,"Sam Armstrong, James Algar, Bill Roberts, Paul Satterfield, Hamilton Luske, Jim Handley, Ford Beebe, T. Hee, Norm Ferguson , Wilfred Jackson",🎉058,1940,[幻想曲 Fantasia](https://movie.douban.com/subject/1310179/),🌟8.9,"导演: 詹姆斯·阿尔格 / 塞缪尔·阿姆斯特朗 /  / 诺曼·弗格森 / 戴维·汉德 /  / T. Hee / 威尔弗雷德·杰克逊 / 汉密尔顿·卢斯科 / 比尔·罗伯茨 / 保罗·萨特菲尔德 / 宾·沙普斯坦, 主演: Deems Taylor / 列奥波德·斯托科夫斯基 /, 类型: 动画 / 奇幻 / 音乐, 制片国家/地区: 美国, 年份: 1940",[Fantasia](https://www.imdb.com/title/tt0032455/),🌟7.7
Rebel Without a Cause,Nicholas Ray,🎉059,1955,[无因的反叛 Rebel Without a Cause](https://movie.douban.com/subject/1295416/),🌟8.0,"导演: 尼古拉斯·雷, 主演: 詹姆斯·迪恩 / 娜塔莉·伍德 / 萨尔·米涅奥, 类型: 剧情, 制片国家/地区: 美国, 年份: 1955",[Rebel Without a Cause](https://www.imdb.com/title/tt0048545/),🌟7.6
Raiders of the Lost Ark,Steven Spielberg,🎉060,1981,[夺宝奇兵 Raiders of the Lost Ark](https://movie.douban.com/subject/1296717/),🌟7.9,"导演: 史蒂文·斯皮尔伯格, 主演: 哈里森·福特 / 凯伦·阿兰 / 保罗·弗里曼, 类型: 动作 / 冒险, 制片国家/地区: 美国, 年份: 1981",[Raiders of the Lost Ark](https://www.imdb.com/title/tt0082971/),🌟8.4
Vertigo,Alfred Hitchcock,🎉061,1958,[迷魂记 Vertigo](https://movie.douban.com/subject/1297294/),🌟8.7,"导演: 阿尔弗雷德·希区柯克, 主演: 詹姆斯·斯图尔特 / 金·诺瓦克 / 芭芭拉·贝尔·戈迪斯, 类型: 爱情 / 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1958",[Vertigo](https://www.imdb.com/title/tt0052357/),🌟8.3
Tootsie,Sydney Pollack,🎉062,1982,[窈窕淑男 Tootsie](https://movie.douban.com/subject/1297737/),🌟8.1,"导演: 西德尼·波拉克, 主演: 达斯汀·霍夫曼 / 杰西卡·兰格 / 特瑞·加尔, 类型: 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1982",[Tootsie](https://www.imdb.com/title/tt0084805/),🌟7.4
Stagecoach,John Ford,🎉063,1939,[关山飞渡 Stagecoach](https://movie.douban.com/subject/1298134/),🌟8.4,"导演: 约翰·福特, 主演: 约翰·韦恩 / 克莱尔·特雷弗 / 约翰·卡拉丁, 类型: 动作 / 剧情 / 爱情 / 西部, 制片国家/地区: 美国, 年份: 1939",[Stagecoach](https://www.imdb.com/title/tt0031971/),🌟7.8
Close Encounters of the Third Kind,Steven Spielberg,🎉064,1977,[第三类接触 Close Encounters of the Third Kind](https://movie.douban.com/subject/1298405/),🌟7.2,"导演: 史蒂文·斯皮尔伯格, 主演: 理查德·德莱福斯 / 弗朗索瓦·特吕弗 / 特瑞·加尔, 类型: 剧情 / 科幻, 制片国家/地区: 美国, 年份: 1977",[Close Encounters of the Third Kind](https://www.imdb.com/title/tt0075860/),🌟7.6
The Silence of the Lambs,Jonathan Demme,🎉065,1991,[沉默的羔羊 The Silence of the Lambs](https://movie.douban.com/subject/1293544/),🌟8.9,"导演: 乔纳森·戴米, 主演: 朱迪·福斯特 / 安东尼·霍普金斯 / 斯科特·格伦, 类型: 剧情 / 犯罪 / 惊悚, 制片国家/地区: 美国, 年份: 1991",[The Silence of the Lambs](https://www.imdb.com/title/tt0102926/),🌟8.6
Network,Sidney Lumet,🎉066,1976,[电视台风云 Network](https://movie.douban.com/subject/1297531/),🌟8.4,"导演: 西德尼·吕美特, 主演: 费·唐纳薇 / 威廉·霍尔登 / 彼得·芬奇, 类型: 剧情, 制片国家/地区: 美国, 年份: 1976",[Network](https://www.imdb.com/title/tt0074958/),🌟8.1
The Manchurian Candidate,John Frankenheimer,🎉067,1962,[满洲候选人 The Manchurian Candidate](https://movie.douban.com/subject/1293840/),🌟7.3,"导演: 约翰·弗兰克海默, 主演: 弗兰克·辛纳特拉 / 劳伦斯·哈维 / 安吉拉·兰斯伯瑞, 类型: 剧情 / 惊悚, 制片国家/地区: 美国, 年份: 1962",[The Manchurian Candidate](https://www.imdb.com/title/tt0056218/),🌟7.9
An American in Paris,Vincente Minnelli,🎉068,1951,[一个美国人在巴黎 An American in Paris](https://movie.douban.com/subject/1316522/),🌟7.1,"导演: 文森特·明奈利, 主演: 吉恩·凯利 / 莱斯莉·卡伦 / 奥斯卡·黎凡特, 类型: 剧情 / 爱情 / 歌舞, 制片国家/地区: 美国, 年份: 1951",[An American in Paris](https://www.imdb.com/title/tt0043278/),🌟7.2
Shane,George Stevens,🎉069,1953,[原野奇侠 Shane](https://movie.douban.com/subject/1292767/),🌟7.6,"导演: 乔治·史蒂文斯, 主演: 艾伦·拉德 / 琪恩·亚瑟 / 凡·赫夫林, 类型: 剧情 / 西部, 制片国家/地区: 美国, 年份: 1953",[Shane](https://www.imdb.com/title/tt0046303/),🌟7.6
The French Connection,William Friedkin,🎉070,1971,[法国贩毒网 The French Connection](https://movie.douban.com/subject/3013046/),🌟7.8,"导演: 威廉·弗莱德金, 主演: 吉恩·哈克曼 / 费尔南多·雷伊 / 罗伊·谢德, 类型: 动作 / 犯罪 / 惊悚, 制片国家/地区: 美国, 年份: 1971",[The French Connection](https://www.imdb.com/title/tt0067116/),🌟7.7
Forrest Gump,Robert Zemeckis,🎉071,1994,[阿甘正传 Forrest Gump](https://movie.douban.com/subject/1292720/),🌟9.5,"导演: 罗伯特·泽米吉斯, 主演: 汤姆·汉克斯 / 罗宾·怀特 / 加里·西尼斯, 类型: 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1994",[Forrest Gump](https://www.imdb.com/title/tt0109830/),🌟8.8
Ben-Hur,William Wyler,🎉072,1959,[宾虚 Ben-Hur](https://movie.douban.com/subject/1293150/),🌟8.7,"导演: 威廉·惠勒, 主演: 查尔顿·赫斯顿 / 杰克·霍金斯 / 哈雅·哈拉里特, 类型: 剧情 / 动作 / 历史 / 战争 / 冒险, 制片国家/地区: 美国, 年份: 1959",[Ben-Hur](https://www.imdb.com/title/tt0052618/),🌟8.1
Wuthering Heights,William Wyler,🎉073,1939,[呼啸山庄 Wuthering Heights](https://movie.douban.com/subject/1293647/),🌟7.8,"导演: 威廉·惠勒, 主演: 梅尔·奥勃朗 / 劳伦斯·奥利弗 / 大卫·尼文, 类型: 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1939",[Wuthering Heights](https://www.imdb.com/title/tt0032145/),🌟7.5
The Gold Rush,Charlie Chaplin,🎉074,1925,[淘金记 The Gold Rush](https://movie.douban.com/subject/1298817/),🌟9.2,"导演: 查理·卓别林, 主演: 查理·卓别林 / 马克·斯旺 / 汤姆·默里, 类型: 喜剧 / 爱情 / 西部 / 冒险, 制片国家/地区: 美国, 年份: 1925",[The Gold Rush](https://www.imdb.com/title/tt0015864/),🌟8.1
Dances with Wolves,Kevin Costner,🎉075,1990,[与狼共舞 Dances with Wolves](https://movie.douban.com/subject/1293764/),🌟8.9,"导演: 凯文·科斯特纳, 主演: 凯文·科斯特纳 / 玛丽·麦克唐纳 / 格雷厄姆·格林, 类型: 剧情 / 西部 / 冒险, 制片国家/地区: 美国/英国, 年份: 1990",[Dances with Wolves](https://www.imdb.com/title/tt0099348/),🌟8
City Lights,Charles Chaplin,🎉076,1931,[城市之光 City Lights](https://movie.douban.com/subject/1293908/),🌟9.3,"导演: 查理·卓别林, 主演: 查理·卓别林 / 弗吉尼亚·切瑞尔 / 佛罗伦斯·李, 类型: 喜剧 / 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1931",[City Lights](https://www.imdb.com/title/tt0021749/),🌟8.5
American Graffiti,George Lucas,🎉077,1973,[美国风情画 American Graffiti](https://movie.douban.com/subject/1300106/),🌟7.6,"导演: 乔治·卢卡斯, 主演: 理查德·德莱福斯 / 朗·霍华德 / 保罗·勒马特, 类型: 喜剧 / 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1973",[American Graffiti](https://www.imdb.com/title/tt0069704/),🌟7.4
Rocky,John G. Avildsen,🎉078,1976,[洛奇 Rocky](https://movie.douban.com/subject/1295742/),🌟8.8,"导演: 约翰·G·艾维尔森, 主演: 西尔维斯特·史泰龙 / 塔莉娅·夏尔 / 波特·杨, 类型: 剧情 / 爱情 / 运动, 制片国家/地区: 美国, 年份: 1976",[Rocky](https://www.imdb.com/title/tt0075148/),🌟8.1
The Deer Hunter,Michael Cimino,🎉079,1978,[猎鹿人 The Deer Hunter](https://movie.douban.com/subject/1292403/),🌟8.3,"导演: 迈克尔·西米诺, 主演: 罗伯特·德尼罗 / 约翰·凯泽尔 / 约翰·萨维奇, 类型: 剧情 / 战争, 制片国家/地区: 美国, 年份: 1978",[The Deer Hunter](https://www.imdb.com/title/tt0077416/),🌟8.1
The Wild Bunch,Sam Peckinpah,🎉080,1969,[日落黄沙 The Wild Bunch](https://movie.douban.com/subject/1296963/),🌟8.3,"导演: 萨姆·佩金帕, 主演: 威廉·霍尔登 / 欧内斯特·博格宁 / 罗伯特·瑞安, 类型: 动作 / 西部, 制片国家/地区: 美国, 年份: 1969",[The Wild Bunch](https://www.imdb.com/title/tt0065214/),🌟7.9
Modern Times,Charlie Chaplin,🎉081,1936,[摩登时代 Modern Times](https://movie.douban.com/subject/1294371/),🌟9.3,"导演: 查理·卓别林, 主演: 查理·卓别林 / 宝莲·高黛 / 亨利·伯格曼, 类型: 剧情 / 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1936",[Modern Times](https://www.imdb.com/title/tt0027977/),🌟8.5
Giant,George Stevens,🎉082,1956,[巨人传 Giant](https://movie.douban.com/subject/1298289/),🌟8.0,"导演: 乔治·史蒂文斯, 主演: 罗克·赫德森 / 伊丽莎白·泰勒 / 詹姆斯·迪恩, 类型: 剧情 / 爱情 / 西部, 制片国家/地区: 美国, 年份: 1956",[Giant](https://www.imdb.com/title/tt0049261/),🌟7.6
Platoon,Oliver Stone,🎉083,1986,[野战排 Platoon](https://movie.douban.com/subject/1293396/),🌟8.2,"导演: 奥利佛·斯通, 主演: 威廉·达福 / 查理·辛 / 汤姆·贝伦杰, 类型: 动作 / 剧情 / 战争, 制片国家/地区: 美国/英国, 年份: 1986",[Platoon](https://www.imdb.com/title/tt0091763/),🌟8.1
Fargo,Joel Coen,🎉084,1996,[冰血暴 Fargo](https://movie.douban.com/subject/1292067/),🌟8.0,"导演: 乔尔·科恩, 主演: 威廉姆·H·梅西 / 史蒂夫·布西密 / 彼得·斯特曼, 类型: 犯罪 / 剧情 / 惊悚, 制片国家/地区: 美国/英国, 年份: 1996",[Fargo](https://www.imdb.com/title/tt0116282/),🌟8.1
Duck Soup,Leo McCarey,🎉085,1933,[鸭羹 Duck Soup](https://movie.douban.com/subject/1298113/),🌟7.2,"导演: 莱奥·麦卡雷, 主演: 格劳乔·马克斯 / 哈勃·马克斯 / 奇科·马克斯, 类型: 喜剧 / 歌舞, 制片国家/地区: 美国, 年份: 1933",[Duck Soup](https://www.imdb.com/title/tt0023969/),🌟7.8
Mutiny on the Bounty,Frank Lloyd,🎉086,1935,[叛舰喋血记 Mutiny on the Bounty](https://movie.douban.com/subject/1298059/),🌟7.9,"导演: 弗兰克·洛伊德, 主演: 查尔斯·劳顿 / 克拉克·盖博 / 法兰奇·汤恩, 类型: 冒险 / 剧情 / 历史, 制片国家/地区: 美国, 年份: 1935",[Mutiny on the Bounty](https://www.imdb.com/title/tt0026752/),🌟7.6
Frankenstein,James Whale,🎉087,1931,[科学怪人 Frankenstein](https://movie.douban.com/subject/1296929/),🌟7.5,"导演: 詹姆斯·惠尔, 主演: 科林·克利夫 / 梅·克拉克 / 约翰·博尔斯, 类型: 科幻 / 恐怖, 制片国家/地区: 美国, 年份: 1931",[Frankenstein](https://www.imdb.com/title/tt0021884/),🌟7.8
Easy Rider,Dennis Hopper,🎉088,1969,[逍遥骑士 Easy Rider](https://movie.douban.com/subject/1297646/),🌟8.3,"导演: 丹尼斯·霍珀, 主演: 彼得·方达 / 丹尼斯·霍珀 / 杰克·尼科尔森, 类型: 剧情 / 冒险, 制片国家/地区: 美国, 年份: 1969",[Easy Rider](https://www.imdb.com/title/tt0064276/),🌟7.3
Patton,Franklin J. Schaffner,🎉089,1970,[巴顿将军 Patton](https://movie.douban.com/subject/1298308/),🌟8.2,"导演: 富兰克林·沙夫纳, 主演: 乔治·C·斯科特 / 卡尔·莫尔登 / 斯蒂芬·杨, 类型: 传记 / 剧情 / 战争, 制片国家/地区: 美国, 年份: 1970",[Patton](https://www.imdb.com/title/tt0066206/),🌟7.9
The Jazz Singer,Alan Crosland,🎉090,1927,[爵士歌手 The Jazz Singer](https://movie.douban.com/subject/1303410/),🌟7.5,"导演: 艾伦·克罗斯兰, 主演: 阿尔•乔生 / 梅·麦卡沃伊 / 华纳·欧兰德, 类型: 剧情 / 音乐 / 爱情, 制片国家/地区: 美国, 年份: 1927",[The Jazz Singer](https://www.imdb.com/title/tt0018037/),🌟6.4
My Fair Lady,George Cukor,🎉091,1964,[窈窕淑女 My Fair Lady](https://movie.douban.com/subject/1297965/),🌟8.2,"导演: 乔治·库克, 主演: 奥黛丽·赫本 / 雷克斯·哈里森 / 斯坦利·霍洛威, 类型: 剧情 / 爱情 / 歌舞, 制片国家/地区: 美国, 年份: 1964",[My Fair Lady](https://www.imdb.com/title/tt0058385/),🌟7.8
A Place in the Sun,George Stevens,🎉092,1951,[郎心似铁 A Place in the Sun](https://movie.douban.com/subject/1293047/),🌟7.6,"导演: 乔治·史蒂文斯, 主演: 蒙哥马利·克利夫特 / 伊丽莎白·泰勒 / 谢利·温特斯, 类型: 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1951",[A Place in the Sun](https://www.imdb.com/title/tt0043924/),🌟7.7
The Apartment,Billy Wilder,🎉093,1960,[桃色公寓 The Apartment](https://movie.douban.com/subject/1394218/),🌟8.8,"导演: 比利·怀尔德, 主演: 杰克·莱蒙 / 雪莉·麦克雷恩 / 弗莱德·麦克莫瑞, 类型: 爱情 / 喜剧 / 剧情, 制片国家/地区: 美国, 年份: 1960",[The Apartment](https://www.imdb.com/title/tt0053604/),🌟8.3
Goodfellas,Martin Scorsese,🎉094,1990,[好家伙 GoodFellas](https://movie.douban.com/subject/1292268/),🌟8.5,"导演: 马丁·斯科塞斯, 主演: 罗伯特·德尼罗 / 雷·利奥塔 / 乔·佩西, 类型: 剧情 / 传记 / 犯罪, 制片国家/地区: 美国, 年份: 1990",[Goodfellas](https://www.imdb.com/title/tt0099685/),🌟8.7
Pulp Fiction,Quentin Tarantino,🎉095,1994,[低俗小说 Pulp Fiction](https://movie.douban.com/subject/1291832/),🌟8.9,"导演: 昆汀·塔伦蒂诺, 主演: 约翰·特拉沃尔塔 / 乌玛·瑟曼 / 阿曼达·普拉莫, 类型: 剧情 / 喜剧 / 犯罪, 制片国家/地区: 美国, 年份: 1994",[Pulp Fiction](https://www.imdb.com/title/tt0110912/),🌟8.9
The Searchers,John Ford,🎉096,1956,[搜索者 The Searchers](https://movie.douban.com/subject/1292668/),🌟7.9,"导演: 约翰·福特, 主演: 约翰·韦恩 / 杰弗里·亨特 / 维拉·迈尔斯, 类型: 剧情 / 西部 / 冒险, 制片国家/地区: 美国, 年份: 1956",[The Searchers](https://www.imdb.com/title/tt0049730/),🌟7.8
Bringing Up Baby,Howard Hawks,🎉097,1938,[育婴奇谭 Bringing Up Baby](https://movie.douban.com/subject/1297657/),🌟7.3,"导演: 霍华德·霍克斯, 主演: 凯瑟琳·赫本 / 加里·格兰特 / 查尔斯·拉格尔斯, 类型: 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1938",[Bringing Up Baby](https://www.imdb.com/title/tt0029947/),🌟7.8
Unforgiven,Clint Eastwood,🎉098,1992,[不可饶恕 Unforgiven](https://movie.douban.com/subject/1293566/),🌟8.5,"导演: 克林特·伊斯特伍德, 主演: 克林特·伊斯特伍德 / 吉恩·哈克曼 / 摩根·弗里曼, 类型: 剧情 / 西部, 制片国家/地区: 美国, 年份: 1992",[Unforgiven](https://www.imdb.com/title/tt0105695/),🌟8.2
Guess Who's Coming to Dinner,Stanley Kramer,🎉099,1967,[猜猜谁来吃晚餐 Guess Who's Coming to Dinner](https://movie.douban.com/subject/1293688/),🌟7.9,"导演: 斯坦利·克雷默, 主演: 斯宾塞·屈塞 / 西德尼·波蒂埃 / 凯瑟琳·赫本, 类型: 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1967",[Guess Who's Coming to Dinner](https://www.imdb.com/title/tt0061735/),🌟7.8
Yankee Doodle Dandy,Michael Curtiz,🎉100,1942,[胜利之歌 Yankee Doodle Dandy](https://movie.douban.com/subject/1295014/),🌟7.8,"导演: 迈克尔·柯蒂兹, 主演: 詹姆斯·卡格尼 / 琼·莱斯利 / 沃尔特·休斯顿, 类型: 传记 / 剧情 / 歌舞 / 爱情, 制片国家/地区: 美国, 年份: 1942",[Yankee Doodle Dandy](https://www.imdb.com/title/tt0035575/),🌟7.6
