Index,年度十佳,排名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,制片国家/地区
0,2022年,1,[岛屿上的煎熬 Tourment sur les îles](https://movie.douban.com/subject/35211739/),2022.0,6.7, 阿尔伯特·塞拉, 伯努瓦·马吉梅尔 / 塞尔希·洛佩斯 / 吕伊斯·塞拉, 剧情 / 惊悚, 法国/西班牙/德国/葡萄牙
1,2022年,2,[甘草披萨 Licorice Pizza](https://movie.douban.com/subject/34888057/),2021.0,6.8, 保罗·托马斯·安德森, 阿拉娜·哈伊姆 / 库珀·霍夫曼 / 斯凯勒·吉桑多, 剧情 / 喜剧, 美国/加拿大
2,2022年,3,[不 Nope](https://movie.douban.com/subject/35240235/),2022.0,6.8, 乔丹·皮尔, 丹尼尔·卡卢亚 / 柯柯·帕尔莫 / 布兰登·佩利亚, 科幻 / 悬疑 / 惊悚 / 恐怖, 美国/日本/加拿大
3,2022年,4,[驴叫 EO](https://movie.douban.com/subject/35400649/),2022.0,6.8, 杰兹·斯科利莫夫斯基, 桑德拉·德拉兹马尔斯卡 / 伊莎贝尔·于佩尔 / 洛伦佐·祖佐洛, 剧情, 波兰/意大利
4,2022年,5,[偶然与想象 偶然と想像](https://movie.douban.com/subject/35360296/),2021.0,8.3, 滨口龙介, 古川琴音 / 涩川清彦 / 占部房子, 剧情 / 爱情, 日本
5,2022年,6,[土星保龄球 Bowling Saturne](https://movie.douban.com/subject/35371273/),2022.0,6.4, 帕特里西亚·玛佐, 阿里耶·沃索尔特 / 弗里德里克·范登德里舍 / Achille Reggiani, 剧情 / 惊悚, 法国/比利时
6,2022年,7,[阿波罗10½号：太空时代的童年 Apollo 10 1/2: A Space Age Childhood](https://movie.douban.com/subject/30142421/),2022.0,7.5, 理查德·林克莱特, 米洛·考伊 / 杰克·布莱克 / 李·埃迪, 剧情 / 科幻 / 动画 / 冒险, 美国
7,2022年,8,[引见 인트로덕션](https://movie.douban.com/subject/35360295/),2021.0,6.7, 洪常秀, 申锡镐 / 朴美姬 / 金英浩, 剧情, 韩国
8,2022年,9,[跟我走吧 Viens je t’emmène](https://movie.douban.com/subject/26792805/),2022.0,7.3, 阿兰·吉罗迪, 让-查理·克里切特 / 诺埃米·洛夫斯基 / 伊利斯·卡德里, 剧情 / 喜剧, 法国/比利时
9,2022年,10,[谁能阻挡我们 Quién lo impide](https://movie.douban.com/subject/35432327/),2021.0,7.6, 霍纳斯·特鲁埃瓦, 坎德拉·雷西奥 / Pablo Hoyos / 西尔维娅·阿吉拉, 剧情 / 纪录片, 西班牙
10,2021年,1,[第一头牛 First Cow](https://movie.douban.com/subject/30368608/),2019.0,7.7, 凯莉·莱卡特, 约翰·马加罗 / 奥赖恩·李 / 勒内·奥贝尔若努瓦, 剧情, 美国
11,2021年,2,[安妮特 Annette](https://movie.douban.com/subject/26856202/),2021.0,6.9, 莱奥·卡拉克斯, 亚当·德赖弗 / 玛丽昂·歌迪亚 / 西蒙·赫尔伯格, 剧情 / 爱情 / 歌舞, 法国/墨西哥/美国/瑞士/比利时/日本/德国
12,2021年,3,[记忆 Memoria](https://movie.douban.com/subject/30137576/),2021.0,7.6, 阿彼察邦·韦拉斯哈古, 蒂尔达·斯文顿 / 艾格尼丝·布雷克 / 丹尼尔·希梅内斯·卡乔, 剧情, 哥伦比亚/泰国/法国/德国/墨西哥/卡塔尔/英国/中国大陆/瑞士
13,2021年,4,[驾驶我的车 ドライブ・マイ・カー](https://movie.douban.com/subject/35235502/),2021.0,7.9, 滨口龙介, 西岛秀俊 / 三浦透子 / 雾岛丽香, 剧情, 日本
14,2021年,5,[法兰西 France](https://movie.douban.com/subject/30465538/),2021.0,6.9, 布鲁诺·杜蒙, 蕾雅·赛杜 / 布朗什·加丁 / 班哲明·比欧雷, 剧情 / 喜剧, 法国/德国/意大利/比利时
15,2021年,6,[法兰西特派 The French Dispatch](https://movie.douban.com/subject/30300279/),2021.0,7.7, 韦斯·安德森, 本尼西奥·德尔·托罗 / 阿德里安·布罗迪 / 蒂尔达·斯文顿, 剧情 / 喜剧, 美国/德国
16,2021年,7,[南法撩妹记 À l'abordage](https://movie.douban.com/subject/34955335/),2020.0,7.3, 吉约姆·布哈克, 埃里克·南乔 / 萨利夫·西塞 / 爱德华·苏皮斯, 喜剧, 法国
17,2021年,8,[女孩和蜘蛛 Das Mädchen und die Spinne](https://movie.douban.com/subject/26961214/),2021.0,6.9, 拉蒙·曲尔歇尔 / 西尔万·曲尔歇尔, 亨丽埃特·肯夫里乌斯 / Liliane Amuat / 尤拉西纳·拉尔迪, 剧情, 瑞士
18,2021年,9,[算牌人 The Card Counter](https://movie.douban.com/subject/34873745/),2021.0,6.2, 保罗·施拉德, 奥斯卡·伊萨克 / 蒂凡尼·哈迪斯 / 泰伊·谢里丹, 剧情 / 犯罪 / 惊悚, 美国/英国/中国大陆/瑞典
19,2021年,10,[圣母 Benedetta](https://movie.douban.com/subject/26933588/),2021.0,7.8, 保罗·范霍文, 维尔日妮·埃菲拉 / 夏洛特·兰普林 / 达芙妮·帕塔基亚, 剧情 / 历史 / 同性, 法国/荷兰
20,2020年,1,[波士顿市政厅 City Hall](https://movie.douban.com/subject/35027717/),2020.0,7.9, 弗雷德里克·怀斯曼, Marty Walsh, 纪录片, 美国
21,2020年,2,[逃走的女人 도망친 여자](https://movie.douban.com/subject/34958725/),2020.0,7.2, 洪常秀, 金敏喜 / 徐永嬅 / 宋宣美, 剧情, 韩国
22,2020年,3,[原钻 Uncut Gems](https://movie.douban.com/subject/27045860/),2019.0,7.2, 本·萨弗迪 / 约书亚·萨弗迪, 亚当·桑德勒 / 茱莉娅·福克斯 / 凯文·加内特, 剧情 / 犯罪, 美国
23,2020年,4,[马尔姆克罗格庄园 Malmkrog](https://movie.douban.com/subject/26708258/),2020.0,6.7, 克利斯提·普优, Agathe Bosch / Ugo Broussot / Frédéric Schulz-Richard, 历史, 罗马尼亚/塞尔维亚/瑞典/瑞士/北马其顿/英国/法国
24,2020年,5,"[所言所行 Les Choses qu'on dit, les choses qu'on fait](https://movie.douban.com/subject/34964138/)",2020.0,7.7, 埃马纽埃尔·穆雷, 卡梅丽雅·乔丹娜 / 尼尔斯·施内德 / 樊尚·马凯涅, 爱情, 法国
25,2020年,6,[江边旅馆 강변호텔](https://movie.douban.com/subject/30189817/),2018.0,7.3, 洪常秀, 奇周峯 / 金敏喜 / 宋宣美, 剧情, 韩国
26,2020年,7,[春江水暖](https://movie.douban.com/subject/30419744/),2019.0,7.3, 顾晓刚, 杜红军 / 钱有法 / 汪凤娟, 剧情 / 家庭, 中国大陆
27,2020年,8,[眼泪之盐 Le sel des larmes](https://movie.douban.com/subject/26979204/),2020.0,6.7, 菲利普·加瑞尔, 洛根·安托弗莫 / 欧莱雅·阿玛拉 / 路易丝·舍维约特, 剧情 / 爱情, 法国/瑞士
28,2020年,9,[太棒了 Énorme](https://movie.douban.com/subject/30465742/),2019.0,6.3, 索菲·勒图讷尔, 玛琳娜·佛伊丝 / 乔纳森·科恩 /, 喜剧, 法国
29,2020年,10,[八月处子 La Virgen de Agosto](https://movie.douban.com/subject/33464312/),2019.0,7.5, 霍纳斯·特鲁埃瓦, 伊萨索·阿拉纳 / Vito Sanz / 伊莎贝尔·施托费尔, 剧情, 西班牙
30,2019年,1,[影像之书 Le livre d'image](https://movie.douban.com/subject/26830774/),2018.0,7.8, 让-吕克·戈达尔, 让-吕克·戈达尔, 剧情 / 纪录片, 瑞士/法国
31,2019年,2,[寄生虫 기생충](https://movie.douban.com/subject/27010768/),2019.0,8.8, 奉俊昊, 宋康昊 / 李善均 / 曹汝贞, 剧情, 韩国
32,2019年,3,[同义词 מילים נרדפות](https://movie.douban.com/subject/27047918/),2019.0,6.9, 那达夫·拉皮德, 汤姆·梅西耶 / 康坦·多尔迈尔 / 路易丝·舍维约特, 剧情 / 喜剧, 法国/以色列/德国
33,2019年,4,[巴克劳 Bacurau](https://movie.douban.com/subject/24389792/),2019.0,6.8, 儒利亚诺·多赫内利斯 / 小克莱伯·门多萨, 芭芭拉·科伦 / 托马斯·阿基诺 / 西弗罗·佩雷拉, 剧情, 巴西/法国
34,2019年,5,[贞德 Jeanne](https://movie.douban.com/subject/27663802/),2019.0,6.8, 布鲁诺·杜蒙, 莉莎·勒普拉·普鲁多姆 / Annick Lavieville / Justine Herbez, 剧情 / 历史 / 战争, 法国
35,2019年,6,[痛苦与荣耀 Dolor y gloria](https://movie.douban.com/subject/30198539/),2019.0,8.5, 佩德罗·阿莫多瓦, 安东尼奥·班德拉斯 / 阿谢尔·埃特塞安迪亚 / 莱昂纳多·斯巴拉格利亚, 剧情 / 同性, 西班牙/法国
36,2019年,7,[悲惨世界 Les Misérables](https://movie.douban.com/subject/33417030/),2019.0,8.1, 拉吉·利, 达米安·勃纳尔 / 亚历克西斯·曼蒂 / 贾布里勒·宗加, 剧情 / 犯罪, 法国
37,2019年,8,[骡子 The Mule](https://movie.douban.com/subject/30135113/),2018.0,7.9, 克林特·伊斯特伍德, 克林特·伊斯特伍德 / 布莱德利·库珀 / 劳伦斯·菲什伯恩, 剧情 / 犯罪, 美国
38,2019年,9,[小丑 Joker](https://movie.douban.com/subject/27119724/),2019.0,8.7, 托德·菲利普斯, 华金·菲尼克斯 / 罗伯特·德尼罗 / 马克·马龙, 剧情 / 犯罪 / 惊悚, 美国/加拿大
39,2019年,10,[爱尔兰人 The Irishman](https://movie.douban.com/subject/6981153/),2019.0,8.8, 马丁·斯科塞斯, 罗伯特·德尼罗 / 阿尔·帕西诺 / 乔·佩西, 剧情 / 传记 / 犯罪, 美国
40,2018年,1,[野小子们 Les Garçons sauvages](https://movie.douban.com/subject/26740543/),2017.0,7.3, 贝特朗·芒蒂格, 保利娜·洛里拉德 / 维玛拉·庞斯 / 戴安·罗赛尔, 剧情 / 悬疑 / 奇幻 / 冒险, 法国
41,2018年,2,[宽宽和非人类 Coincoin et les z'inhumains](https://movie.douban.com/subject/26969727/),2018.0,8.2, 布鲁诺·杜蒙, Alane Delhaye / Bernard Pruvost / Philippe Jore, 剧情, 法国
42,2018年,3,[魅影缝匠 Phantom Thread](https://movie.douban.com/subject/26809592/),2017.0,7.5, 保罗·托马斯·安德森, 丹尼尔·戴-刘易斯 / 薇姬·克里普斯 / 莱丝利·曼维尔, 剧情 / 爱情, 美国/英国
43,2018年,4,[燃烧 버닝](https://movie.douban.com/subject/26842702/),2018.0,8.1, 李沧东, 刘亚仁 / 史蒂文·元 / 全钟瑞, 剧情 / 犯罪 / 悬疑, 韩国
44,2018年,5,[保罗·桑切斯回来了！ Paul Sanchez est revenu!](https://movie.douban.com/subject/27093087/),2018.0,6.7, 帕特里西亚·玛佐, 罗兰·拉斐特 / 琪塔·昂罗 / Idir Chender, 剧情 / 惊悚, 法国
45,2018年,6,[华盛顿邮报 The Post](https://movie.douban.com/subject/26990609/),2017.0,8.3, 史蒂文·斯皮尔伯格, 梅丽尔·斯特里普 / 汤姆·汉克斯 / 莎拉·保罗森, 剧情 / 传记 / 历史, 美国/英国
46,2018年,7,[独自在夜晚的海边 밤의 해변에서 혼자](https://movie.douban.com/subject/26718282/),2017.0,7.6, 洪常秀, 金敏喜 / 徐永嬅 / 郑在泳, 剧情 / 爱情, 韩国
47,2018年,8,[此房是我造 The House That Jack Built](https://movie.douban.com/subject/26369884/),2018.0,7.4, 拉斯·冯·提尔, 马特·狄龙 / 布鲁诺·冈茨 / 乌玛·瑟曼, 犯罪 / 惊悚 / 恐怖, 丹麦/法国/瑞典/德国/比利时/突尼斯
48,2018年,9,[盛夏 Лето](https://movie.douban.com/subject/30162520/),2018.0,7.9, 基里尔·谢列布连尼科夫, 刘台午 / 伊琳娜·斯达申鲍姆 / 罗曼·比利克, 传记 / 音乐, 俄罗斯/法国
49,2018年,10,[金银岛 L'Île au trésor](https://movie.douban.com/subject/27089208/),2018.0,7.8, 吉约姆·布哈克, , 纪录片, 法国
50,2017年,1,[双峰 第三季 Twin Peaks Season 3](https://movie.douban.com/subject/26088510/),2017.0,8.9, 大卫·林奇, 凯尔·麦克拉克伦 / 雪莉·李 / 金米·罗伯特森, 剧情 / 犯罪 / 悬疑, 美国
51,2017年,2,"[童女贞德 Jeannette, l'enfance de Jeanne d'Arc](https://movie.douban.com/subject/26732298/)",2017.0,6.4, 布鲁诺·杜蒙, 莉莎·勒普拉·普鲁多姆 / 珍妮·沃伊辛 / 露西尔·高蒂尔, 儿童 / 历史 / 歌舞, 法国
52,2017年,3,[某种女人 Certain Women](https://movie.douban.com/subject/26341593/),2016.0,7.5, 凯莉·莱卡特, 劳拉·邓恩 / 米歇尔·威廉姆斯 / 莉莉·格莱斯顿, 剧情, 美国
53,2017年,4,[逃出绝命镇 Get Out](https://movie.douban.com/subject/26688480/),2017.0,7.8, 乔丹·皮尔, 丹尼尔·卡卢亚 / 艾莉森·威廉姆斯 / 凯瑟琳·基纳, 悬疑 / 惊悚 / 恐怖, 美国
54,2017年,5,[之后 그 후](https://movie.douban.com/subject/27018296/),2017.0,7.6, 洪常秀, 赵允熙 / 金玺碧 / 权海骁, 剧情 / 爱情, 韩国
55,2017年,6,[一日情人 L'Amant d'un jour](https://movie.douban.com/subject/26759825/),2017.0,7.3, 菲利普·加瑞尔, 埃里克·卡拉瓦卡 / 艾斯特·加瑞尔 / 路易丝·舍维约特, 剧情 / 爱情, 法国
56,2017年,7,[好时光 Good Time](https://movie.douban.com/subject/26528871/),2017.0,7.3, 本·萨弗迪 / 约书亚·萨弗迪, 罗伯特·帕丁森 / 本·萨弗迪 / 泰丽尔·韦伯斯特, 剧情 / 犯罪, 美国
57,2017年,8,[分裂 Split](https://movie.douban.com/subject/26600660/),2016.0,7.4, M·奈特·沙马兰, 詹姆斯·麦卡沃伊 / 安雅·泰勒-乔伊 / 贝蒂·巴克利, 犯罪 / 悬疑 / 惊悚, 美国
58,2017年,9,[第一夫人 Jackie](https://movie.douban.com/subject/4849728/),2016.0,6.6, 帕布罗·拉雷恩, 娜塔莉·波特曼 / 彼得·萨斯加德 / 格蕾塔·葛韦格, 剧情 / 传记 / 历史, 美国/法国/智利
59,2017年,10,[比利·林恩的中场战事 Billy Lynn's Long Halftime Walk](https://movie.douban.com/subject/25983044/),2016.0,8.3, 李安, 乔·阿尔文 / 加内特·赫德兰 / 克里斯汀·斯图尔特, 剧情 / 战争, 美国/英国/中国大陆
60,2016年,1,[托尼·厄德曼 Toni Erdmann](https://movie.douban.com/subject/24872189/),2016.0,7.6, 玛伦·阿德, 彼得·西蒙尼舍克 / 桑德拉·惠勒 / 米夏埃尔·维滕博恩, 剧情 / 喜剧, 德国/奥地利
61,2016年,2,[她 Elle](https://movie.douban.com/subject/26022182/),2016.0,7.7, 保罗·范霍文, 伊莎贝尔·于佩尔 / 罗兰·拉斐特 / 安妮·康斯金尼, 剧情 / 惊悚, 法国/德国/比利时
62,2016年,3,[霓虹恶魔 The Neon Demon](https://movie.douban.com/subject/6860147/),2016.0,6.3, 尼古拉斯·温丁·雷弗恩, 艾丽·范宁 / 阿比·丽 / 贝拉·希思科特, 剧情 / 惊悚, 法国/丹麦/美国
63,2016年,4,[水瓶座 Aquarius](https://movie.douban.com/subject/26678599/),2016.0,7.0, 小克莱伯·门多萨, 索尼娅·布拉加 / 伊兰迪尔·桑托斯 / 卡拉·里巴斯, 剧情, 巴西/法国
64,2016年,5,[玛·鲁特 Ma Loute](https://movie.douban.com/subject/26279128/),2016.0,6.6, 布鲁诺·杜蒙, 法布莱斯·鲁奇尼 / 朱丽叶·比诺什 / 瓦莱丽亚·布鲁尼·泰德斯基, 喜剧, 法国/德国/比利时
65,2016年,6,[胡丽叶塔 Julieta](https://movie.douban.com/subject/26296258/),2016.0,7.5, 佩德罗·阿莫多瓦, 埃玛·苏亚雷斯 / 阿德里亚娜·乌加特 / 丹尼尔·格劳, 剧情 / 爱情 / 悬疑, 西班牙
66,2016年,7,[保持站立 Rester vertical](https://movie.douban.com/subject/26678594/),2016.0,6.1, 阿兰·吉罗迪, 达米安·勃纳尔 / 克里斯蒂安·布耶特 / 劳尔·卡拉米, 剧情 / 情色 / 同性, 法国
67,2016年,8,[丛林法则 La loi de la jungle](https://movie.douban.com/subject/26649224/),2016.0,7.1, 安托南·佩里提亚可, 樊尚·马凯涅 / 维玛拉·庞斯 / 帕斯卡·雷吉蒂米, 喜剧, 法国
68,2016年,9,[卡罗尔 Carol](https://movie.douban.com/subject/10757577/),2015.0,8.4, 托德·海因斯, 凯特·布兰切特 / 鲁妮·玛拉 / 凯尔·钱德勒, 剧情 / 爱情 / 同性, 英国/美国
69,2016年,10,[我们在这片森林里制造梦想 Le bois dont les rêves sont faits](https://movie.douban.com/subject/26580156/),2015.0,7.7, 克莱尔·西蒙, , 纪录片, 法国
70,2015年,1,[我的母亲 Mia madre](https://movie.douban.com/subject/24868251/),2015.0,7.2, 南尼·莫莱蒂, 玛格丽塔·布伊 / 南尼·莫莱蒂 / 约翰·特托罗, 剧情, 意大利/法国
71,2015年,2,[幻梦墓园 รักที่ขอนแก่น](https://movie.douban.com/subject/21323277/),2015.0,7.6, 阿彼察邦·韦拉斯哈古, 金吉拉·潘帕斯 / 班罗普·洛罗伊, 剧情, 泰国/英国/法国/德国/马来西亚/韩国/墨西哥/美国/挪威
72,2015年,3,[女人的阴影 L'Ombre des femmes](https://movie.douban.com/subject/25851625/),2015.0,7.3, 菲利普·加瑞尔, 克洛蒂尔·蔻洛 / 斯坦尼斯拉斯·莫哈 / 让·波米埃, 剧情, 法国/瑞士
73,2015年,4,[气味相投 The Smell of Us](https://movie.douban.com/subject/11541298/),2014.0,5.9, 拉里·克拉克, Diane Rouxel / Lukas Ionesco, 剧情, 法国/美国
74,2015年,5,[疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road](https://movie.douban.com/subject/3592854/),2015.0,8.7, 乔治·米勒, 汤姆·哈迪 / 查理兹·塞隆 / 尼古拉斯·霍尔特, 动作 / 科幻 / 冒险, 澳大利亚/美国
75,2015年,6,[安乐乡 Jauja](https://movie.douban.com/subject/20393686/),2014.0,7.4, 利桑德罗·阿隆索, 维果·莫腾森 / 迭戈·罗曼 / 格茜塔·诺比, 剧情 / 西部, 阿根廷/丹麦/法国/墨西哥/美国/德国/巴西/荷兰
76,2015年,7,[性本恶 Inherent Vice](https://movie.douban.com/subject/5432221/),2014.0,7.1, 保罗·托马斯·安德森, 华金·菲尼克斯 / 乔什·布洛林 / 欧文·威尔逊, 剧情 / 喜剧 / 犯罪, 美国
77,2015年,8,"[一千零一夜第1部：不安之人 As Mil e Uma Noites: Volume 1, O Inquieto](https://movie.douban.com/subject/24754783/)",2015.0,7.0, 米格尔·戈麦斯, 克里斯塔·法亚特 / 米格尔·戈麦斯 / 罗基里奥·萨莫拉, 剧情, 葡萄牙/法国/德国/瑞士
78,2015年,9,[桑格莉之夏 Sangailės vasara](https://movie.douban.com/subject/26276387/),2015.0,7.4, 阿兰蒂·卡瓦特, 尤利娅·斯特波娜妮特 / 艾斯特·蒂奇 / 朱拉特·索蒂特, 剧情 / 爱情 / 同性, 立陶宛/法国/荷兰
79,2015年,10,[岸边之旅 岸辺の旅](https://movie.douban.com/subject/25851628/),2015.0,6.8, 黑泽清, 深津绘里 / 浅野忠信 / 小松政夫, 剧情 / 爱情 / 奇幻, 日本/法国
80,2014年,1,[小宽宽 P'tit Quinquin](https://movie.douban.com/subject/25166744/),2014.0,7.6, 布鲁诺·杜蒙, Alane Delhaye / Lucy Caron / Bernard Pruvost, 剧情 / 犯罪 / 悬疑, 法国
81,2014年,2,[再见语言 Adieu au langage](https://movie.douban.com/subject/10465148/),2014.0,7.3, 让-吕克·戈达尔, 海洛依丝·戈多 / 卡迈勒·阿德里 / 理查德·舍瓦利尔, 剧情, 瑞士/法国
82,2014年,3,[皮囊之下 Under the Skin](https://movie.douban.com/subject/3749974/),2013.0,6.3, 乔纳森·格雷泽, 斯嘉丽·约翰逊 / 杰里米·麦克威廉姆斯 / 琳西·泰勒·麦凯, 科幻 / 恐怖, 英国/美国/瑞士
83,2014年,4,[星图 Maps to the Stars](https://movie.douban.com/subject/11502912/),2014.0,6.4, 大卫·柯南伯格, 朱丽安·摩尔 / 米娅·华希科沃斯卡 / 罗伯特·帕丁森, 剧情, 加拿大/美国/德国/法国
84,2014年,5,[起风了 風立ちぬ](https://movie.douban.com/subject/6791750/),2013.0,8.2, 宫崎骏, 庵野秀明 / 泷本美织 / 西岛秀俊, 剧情 / 爱情 / 动画, 日本
85,2014年,6,女性瘾者：第一部 Nymphomaniac: Volume I,2014, ,拉斯·冯·提尔, , ,丹麦
86,2014年,6,女性瘾者：第二部 Nymphomaniac: Volume II,2014, ,拉斯·冯·提尔, , ,丹麦
87,2014年,7,[妈咪 Mommy](https://movie.douban.com/subject/25745651/),2014.0,8.2, 泽维尔·多兰, 安娜·多尔瓦尔 / 安托万-奥利弗·波尼安 / 苏珊娜·克莱蒙, 剧情 / 家庭, 加拿大
88,2014年,8,[爱很怪 Love Is Strange](https://movie.douban.com/subject/24706561/),2014.0,7.8, 艾拉·萨克斯, 阿尔弗雷德·莫里纳 / 约翰·利思戈 / 玛丽莎·托梅, 剧情 / 爱情 / 同性, 美国/法国/巴西/希腊
89,2014年,9,[天堂 Le Paradis](https://movie.douban.com/subject/25992272/),2014.0,6.9, 阿兰·卡瓦利埃, Nine d'Urso / Thibault Duteil / Maia Fontaine, , 法国
90,2014年,10,[我们善熙 우리 선희](https://movie.douban.com/subject/21371664/),2013.0,7.2, 洪常秀, 郑有美 / 李善均 / 郑在泳, 剧情 / 喜剧 / 爱情, 韩国
91,2013年,1,[湖畔的陌生人 L'Inconnu du lac](https://movie.douban.com/subject/21339377/),2013.0,7.4, 阿兰·吉罗迪, 皮埃尔·德隆尚 / 克里斯多夫·帕欧 / 帕特里克·德阿萨姆曹, 剧情 / 情色 / 同性, 法国
92,2013年,2,[春假 Spring Breakers](https://movie.douban.com/subject/7052437/),2012.0,5.6, 哈莫尼·科林, 詹姆斯·弗兰科 / 赛琳娜·戈麦斯 / 凡妮莎·哈金斯, 剧情 / 犯罪, 美国
93,2013年,3,[阿黛尔的生活 La Vie d'Adèle](https://movie.douban.com/subject/10535568/),2013.0,8.4, 阿布戴·柯西胥, 阿黛尔·艾克萨勒霍布洛斯 / 蕾雅·赛杜 / 萨利姆·克希乌什, 剧情 / 爱情 / 同性, 法国/比利时/西班牙
94,2013年,4,[地心引力 Gravity](https://movie.douban.com/subject/3793783/),2013.0,7.9, 阿方索·卡隆, 桑德拉·布洛克 / 乔治·克鲁尼 / 艾德·哈里斯, 科幻 / 惊悚 / 灾难, 英国/美国/墨西哥
95,2013年,5,天注定 A Touch of Sin,2013, ,贾樟柯, , ,中国
96,2013年,6,[林肯 Lincoln](https://movie.douban.com/subject/1889242/),2012.0,7.8, 史蒂文·斯皮尔伯格, 丹尼尔·戴-刘易斯 / 莎莉·菲尔德 / 大卫·斯特雷泽恩, 剧情 / 传记 / 历史, 美国/印度
97,2013年,7,[嫉妒 La jalousie](https://movie.douban.com/subject/20468389/),2013.0,6.9, 菲利普·加瑞尔, 路易·加瑞尔 / 安娜·穆格拉利斯 / 丽贝卡·孔弗南, 剧情, 法国
98,2013年,8,[不是任何人女儿的海媛 누구의 딸도 아닌 해원](https://movie.douban.com/subject/10535447/),2013.0,7.1, 洪常秀, 李善均 / 郑恩彩 / 简·伯金, 剧情 / 爱情, 韩国
99,2013年,9,[午夜狂欢 Les rencontres d'après minuit](https://movie.douban.com/subject/24299050/),2013.0,6.7, 扬·冈扎乐兹, Kate Moran / 尼尔斯·施内德 / 尼古拉·莫里, 剧情 / 喜剧, 法国
100,2013年,10,[索尔菲雷诺之战 La Bataille de Solférino](https://movie.douban.com/subject/24525678/),2013.0,6.9, 茹斯汀·特里耶, 利蒂希亚·多施 / 樊尚·马凯涅 / 阿图·阿拉里, 剧情 / 喜剧, 法国
101,2012年,1,[神圣车行 Holy Motors](https://movie.douban.com/subject/6875451/),2012.0,8.0, 莱奥·卡拉克斯, 德尼·拉旺 / 爱迪丝·斯考博 / 凯莉·米洛, 剧情 / 奇幻, 法国/德国/比利时
102,2012年,2,[大都会 Cosmopolis](https://movie.douban.com/subject/3893814/),2012.0,5.5, 大卫·柯南伯格, 罗伯特·帕丁森 / 杰伊·巴鲁切尔 / 保罗·吉亚玛提, 剧情, 加拿大/法国/葡萄牙/意大利
103,2012年,3,[从此刻到日出 Twixt](https://movie.douban.com/subject/5343622/),2011.0,6.0, 弗朗西斯·福特·科波拉, 方·基默 / 艾丽·范宁 / 布鲁斯·邓恩, 惊悚 / 恐怖, 美国
