Index,年度十佳,排名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,制片国家/地区
104,2012年,4A,[地球最末日 4:44 Last Day on Earth](https://movie.douban.com/subject/5323980/),2011.0,5.5, 阿贝尔·费拉拉, 威廉·达福 / 娜塔莎·雷昂 / Paul Hipp, 剧情 / 科幻 / 奇幻, 美国
105,2012年,4B,[在异国 다른나라에서](https://movie.douban.com/subject/6717601/),2012.0,6.9, 洪常秀, 伊莎贝尔·于佩尔 / 刘俊相 / 郑有美, 剧情 / 爱情, 韩国
106,2012年,4C,[存身 Take Shelter](https://movie.douban.com/subject/5150245/),2011.0,7.0, 杰夫·尼克尔斯, 迈克尔·珊农 / 杰西卡·查斯坦 / 谢伊·惠格姆, 剧情 / 悬疑 / 惊悚, 美国
107,2012年,7,[戈戈舞的故事 Go Go Tales](https://movie.douban.com/subject/2056667/),2007.0,6.6, 阿贝尔·费拉拉, 威廉·达福 / 鲍勃·霍斯金斯 / 马修·莫迪恩, 喜剧 / 剧情, 美国/意大利
108,2012年,8A,[禁忌 Tabu](https://movie.douban.com/subject/10438585/),2012.0,7.5, 米格尔·戈麦斯, Laura Soveral / Ana Moreira / Teresa Madruga, 剧情 / 爱情, 葡萄牙/德国/巴西/法国
109,2012年,8B,[浮士德 Фауст](https://movie.douban.com/subject/3731625/),2011.0,6.8, 亚历山大·索科洛夫, 斯蒂凡·温博尔 / Wolfgang Bauer / Anita Groissmayer, 剧情, 俄罗斯
110,2012年,10,[点亮灯光 Keep the Lights On](https://movie.douban.com/subject/6896277/),2012.0,6.9, 艾拉·萨克斯, 托尔·林德哈特 / 扎克瑞·布斯 / Marilyn Neimark, 剧情 / 爱情 / 同性, 美国
111,2011年,1,[教皇诞生 Habemus Papam](https://movie.douban.com/subject/3804683/),2011.0,7.6, 南尼·莫莱蒂, 南尼·莫莱蒂 / 米歇尔·皮科利 / 玛格丽塔·布伊, 剧情, 意大利/法国
112,2011年,2A,[安吉里卡奇遇 O Estranho Caso de Angélica](https://movie.douban.com/subject/3287715/),2010.0,7.5, 曼努埃尔·德·奥利维拉, 皮拉尔·洛佩斯·德·阿亚拉 / 里诺尔·森微娜 / Isabel Ruth, 剧情, 葡萄牙/西班牙/法国/巴西
113,2011年,2B,[生命之树 The Tree of Life](https://movie.douban.com/subject/2336735/),2011.0,7.1, 泰伦斯·马力克, 布拉德·皮特 / 西恩·潘 / 杰西卡·查斯坦, 剧情 / 奇幻 / 家庭, 美国
114,2011年,4A,[撒旦之外 Hors Satan](https://movie.douban.com/subject/5151093/),2011.0,7.2, 布鲁诺·杜蒙, 奥罗拉·布鲁坦 / David Dewaele / Alexandra Lematre, 剧情, 法国
115,2011年,4B,[必要的杀戮 Essential Killing](https://movie.douban.com/subject/4304356/),2010.0,6.6, 杰兹·斯科利莫夫斯基, 文森特·加洛 / 艾玛纽尔·塞尼耶 / Zach Cohen, 动作 / 战争 / 惊悚, 波兰/挪威/爱尔兰/匈牙利/英国
116,2011年,6A,[忧郁症 Melancholia](https://movie.douban.com/subject/4086853/),2011.0,7.1, 拉斯·冯·提尔, 克斯汀·邓斯特 / 夏洛特·甘斯布 / 基弗·萨瑟兰, 剧情 / 科幻 / 惊悚, 丹麦/瑞典/法国/德国
117,2011年,6B,[炎炎夏日 Un Été Brûlant](https://movie.douban.com/subject/5372989/),2011.0,6.2, 菲利普·加瑞尔, 路易·加瑞尔 / 莫妮卡·贝鲁奇 / Jérôme Robart, 剧情 / 爱情, 法国/意大利/瑞士
118,2011年,8A,[超级八 Super 8](https://movie.douban.com/subject/5503303/),2011.0,6.5, J·J·艾布拉姆斯, 乔尔·考特尼 / 杰西卡·塔克 / 乔尔·麦金农·米勒, 科幻 / 悬疑 / 惊悚 / 儿童, 美国
119,2011年,8B,妓院里的回忆 L'apollonide (Souvenirs de la maison close),2011, ,贝特朗·波尼洛, , ,法国
120,2011年,8C,[米克的近路 Meek's Cutoff](https://movie.douban.com/subject/4067195/),2010.0,7.2, 凯莉·莱卡特, 米歇尔·威廉姆斯 / 保罗·达诺 / 布鲁斯·格林伍德, 西部, 美国
121,2010年,1,[能召回前世的布米叔叔 ลุงบุญมีระลึกชาติ](https://movie.douban.com/subject/4280102/),2010.0,7.4, 阿彼察邦·韦拉斯哈古, 萨那帕卡·塞塞玛 / 金吉拉·潘帕斯 / 萨卡达·卡温巴迪, 剧情 / 奇幻, 泰国/英国/法国/德国/西班牙/荷兰
122,2010年,2,[坏中尉 The Bad Lieutenant: Port of Call - New Orleans](https://movie.douban.com/subject/3073648/),2009.0,7.0, 沃纳·赫尔佐格, 尼古拉斯·凯奇 / 伊娃·门德斯 / 方·基默, 犯罪 / 惊悚, 美国
123,2010年,3,[电影社会主义 Film Socialisme](https://movie.douban.com/subject/3743039/),2010.0,7.1, 让-吕克·戈达尔, Catherine Tanvier / Christian Sinniger / 帕蒂·史密斯, 剧情, 瑞士/法国
124,2010年,4,[玩具总动员3 Toy Story 3](https://movie.douban.com/subject/1858711/),2010.0,8.9, 李·昂克里奇, 汤姆·汉克斯 / 蒂姆·艾伦 / 琼·库萨克, 喜剧 / 动画 / 奇幻 / 冒险, 美国
125,2010年,5,[了不起的狐狸爸爸 Fantastic Mr. Fox](https://movie.douban.com/subject/1759386/),2009.0,8.6, 韦斯·安德森, 乔治·克鲁尼 / 梅丽尔·斯特里普 / 詹森·舒瓦兹曼, 喜剧 / 动画 / 冒险, 美国
126,2010年,6,[严肃的男人 A Serious Man](https://movie.douban.com/subject/3135483/),2009.0,7.4, 伊桑·科恩 / 乔尔·科恩, 迈克尔·斯图巴 / 理查德·坎德 / 弗雷德·迈拉麦德, 剧情 / 喜剧, 英国/法国/美国
127,2010年,7,[像男人一样死去 Morrer como um Homem](https://movie.douban.com/subject/3706858/),2009.0,6.9, 若昂·佩德罗·罗德里格斯, Fernando Gomes / Jenni La Rue / Miguel Loureiro, 传记, 法国/葡萄牙
128,2010年,8,[社交网络 The Social Network](https://movie.douban.com/subject/3205624/),2010.0,8.2, 大卫·芬奇, 杰西·艾森伯格 / 安德鲁·加菲尔德 / 贾斯汀·汀布莱克, 剧情 / 传记, 美国
129,2010年,9,[舒迦 Shuga](https://movie.douban.com/subject/4126602/),2007.0,6.6, 达赫让·奥米尔巴耶夫, Aidos Sagatov / Alnur Turgambayeva, 剧情, 法国/哈萨克斯坦
130,2010年,10,[母亲 마더](https://movie.douban.com/subject/3036460/),2009.0,8.3, 奉俊昊, 金惠子 / 元斌 / 晋久, 剧情 / 犯罪 / 悬疑 / 惊悚, 韩国
131,2009年,1,[疯草 Les Herbes folles](https://movie.douban.com/subject/2568211/),2009.0,7.2, 阿伦·雷乃, 安德烈·杜索里埃 / 萨宾·阿泽玛 / 艾曼纽·德芙, 剧情 / 爱情, 法国/意大利
132,2009年,2,[征服 Vincere](https://movie.douban.com/subject/3190766/),2009.0,7.4, 马可·贝洛基奥, 焦万娜·梅佐焦尔诺 / 菲利波·蒂米 / 福斯托·鲁索·阿莱西, 剧情 / 历史, 意大利/法国
133,2009年,3,[无耻混蛋 Inglourious Basterds](https://movie.douban.com/subject/1438652/),2009.0,8.7, 昆汀·塔伦蒂诺, 布拉德·皮特 / 梅拉尼·罗兰 / 克里斯托弗·瓦尔兹, 剧情 / 犯罪, 德国/美国
134,2009年,4,[老爷车 Gran Torino](https://movie.douban.com/subject/3026357/),2008.0,8.6, 克林特·伊斯特伍德, 克林特·伊斯特伍德 / 克里斯托弗·卡利 / 比·王, 剧情, 美国/德国
135,2009年,5,[金发奇女 Singularidades de uma Rapariga Loura](https://movie.douban.com/subject/2075412/),2009.0,7.2, 曼努埃尔·德·奥利维拉, 里卡多·特雷普卡 / 卡塔丽娜·瓦朗丝坦 / Diogo Dória, 剧情 / 爱情, 葡萄牙/西班牙/法国
136,2009年,6,[泰特罗 Tetro](https://movie.douban.com/subject/2131650/),2009.0,7.6, 弗朗西斯·福特·科波拉, 文森特·加洛 / 阿尔登·埃伦瑞奇 / 玛丽维尔·贝尔杜, 剧情 / 悬疑, 美国/意大利/西班牙/阿根廷
137,2009年,7,[拆弹部队 The Hurt Locker](https://movie.douban.com/subject/2028645/),2008.0,7.8, 凯瑟琳·毕格罗, 杰瑞米·雷纳 / 安东尼·麦凯 / 布莱恩·格拉格提, 剧情 / 惊悚 / 战争, 美国
138,2009年,8,[逃亡大王 Le Roi de l'évasion](https://movie.douban.com/subject/3444372/),2009.0,6.7, 阿兰·吉罗迪, Hafsia Herzi / Ludovic Berthillot / Luc Palun, 冒险 / 喜剧, 法国
139,2009年,9,[东京奏鸣曲 トウキョウソナタ](https://movie.douban.com/subject/2032143/),2008.0,8.1, 黑泽清, 香川照之 / 小泉今日子 / 井之胁海, 剧情, 日本/荷兰/中国香港
140,2009年,10,[哈德维希 Hadewijch](https://movie.douban.com/subject/3148716/),2009.0,6.8, 布鲁诺·杜蒙, Yassine Salihine / Julie Sokolowski / 大卫德瓦厄, 剧情, 法国
141,2008年,1,[节选修订 Redacted](https://movie.douban.com/subject/2155142/),2007.0,7.4, 布莱恩·德·帕尔玛, Kel O'Neill / Ty Jones / Izzy Diaz, 犯罪 / 剧情 / 战争, 美国/加拿大
142,2008年,2,[前进青春 Juventude em Marcha](https://movie.douban.com/subject/1937459/),2006.0,7.4, 佩德罗·科斯塔, Ventura / Vanda Duarte / Beatriz Duarte, 剧情, 葡萄牙/法国/瑞士
143,2008年,3,[科洛弗档案 Cloverfield](https://movie.douban.com/subject/2144242/),2008.0,7.3, 马特·里夫斯, 丽兹·卡潘 / 杰西卡·卢卡斯 / T·J·米勒, 科幻 / 惊悚 / 灾难, 美国
144,2008年,4,[老无所依 No Country for Old Men](https://movie.douban.com/subject/1857099/),2007.0,8.3, 伊桑·科恩 / 乔尔·科恩, 汤米·李·琼斯 / 哈维尔·巴登 / 乔什·布洛林, 犯罪 / 剧情 / 惊悚, 美国
145,2008年,5,[两个情人 Two Lovers](https://movie.douban.com/subject/2255476/),2008.0,7.0, 詹姆斯·格雷, 华金·菲尼克斯 / 格温妮斯·帕特洛 / 凡妮莎·肖, 剧情 / 爱情, 美国/法国
146,2008年,6,[和巴什尔跳华尔兹 ואלס עם באשיר](https://movie.douban.com/subject/3047617/),2008.0,8.7, 阿里·福尔曼, Ron Ben-Yishai / Ronny Dayag / Ari Folman, 动画 / 纪录片 / 传记, 以色列/德国/法国/美国/芬兰/瑞士/比利时/澳大利亚
147,2008年,7,[最后的抵抗分子 Dernier maquis](https://movie.douban.com/subject/3060592/),2008.0, , 拉巴赫·阿莫尔-兹梅什, SalimAmeur-Zaïmeche / Abel Jafri / Sylvain Roume, 剧情, 法国/阿尔及利亚
148,2008年,8,[饥饿 Hunger](https://movie.douban.com/subject/3070921/),2008.0,8.0, 史蒂夫·麦奎因, 迈克尔·法斯宾德 / 斯图尔特·格雷厄姆 / 莱恩·梅加, 剧情 / 传记, 爱尔兰/英国
149,2008年,9,[国民的诞生 Maicling pelicula nañg ysañg Indio Nacional](https://movie.douban.com/subject/1885141/),2006.0,6.3, 拉亚·马丁, , 剧情 / 历史, 菲律宾
150,2008年,10,[情迷恋战 De la guerre](https://movie.douban.com/subject/2170498/),2008.0, , 贝特朗·波尼洛, 马修·阿马立克 / 艾莎·阿基多 / 吉约姆·德帕迪约, 喜剧 / 剧情 / 战争, 法国
151,2007年,1,[迷幻公园 Paranoid Park](https://movie.douban.com/subject/2002683/),2007.0,7.3, 格斯·范·桑特, 盖博·纳文斯 / 劳伦·麦克金妮 / 泰勒·摩森, 犯罪 / 剧情 / 悬疑, 法国/美国
152,2007年,2A,[金刚不坏 Death Proof](https://movie.douban.com/subject/2080007/),2007.0,7.6, 昆汀·塔伦蒂诺, 库尔特·拉塞尔 / 佐伊·贝尔 / 罗莎里奥·道森, 动作 / 犯罪 / 惊悚, 美国
153,2007年,2B,[内陆帝国 Inland Empire](https://movie.douban.com/subject/1438734/),2006.0,7.7, 大卫·林奇, 劳拉·邓恩 / 杰瑞米·艾恩斯 / 贾斯汀·塞洛克斯, 剧情 / 悬疑 / 惊悚, 法国/波兰/美国
154,2007年,2C,[三峡好人](https://movie.douban.com/subject/1872133/),2006.0,8.4, 贾樟柯, 赵涛 / 韩三明 / 王宏伟, 剧情 / 爱情, 中国大陆
155,2007年,5A,[法兰西 La France](https://movie.douban.com/subject/2143924/),2007.0,7.9, 赛尔日·波宗, 西尔维·泰斯蒂 / 帕斯卡尔·格雷戈里 / 吉约姆·德帕迪约, 剧情 / 歌舞 / 爱情 / 战争, 法国
156,2007年,5B,[十二宫 Zodiac](https://movie.douban.com/subject/1781126/),2007.0,7.5, 大卫·芬奇, 杰克·吉伦哈尔 / 马克·鲁弗洛 / 安东尼·爱德华兹, 剧情 / 传记 / 犯罪 / 悬疑 / 惊悚, 美国
157,2007年,7A,[男神与女神的罗曼史 Les amours d'Astrée et de Céladon](https://movie.douban.com/subject/2005841/),2007.0,7.1, 埃里克·侯麦, 安迪·吉雷 / 斯蒂芬妮·克雷恩考尔 / 塞西尔·卡塞尔, 剧情 / 爱情, 法国/意大利/西班牙
158,2007年,7B,[唐吉诃德 Honor de cavalleria](https://movie.douban.com/subject/2028001/),2006.0,8.0, 阿尔伯特·塞拉, Lluís Carbó / Lluís Serrat, 剧情, 西班牙
159,2007年,7C,[在我遗忘之前 Avant que j'oublie](https://movie.douban.com/subject/2264132/),2007.0,6.8, 雅各·诺勒, 雅各·诺勒 / Jean-Paul Dubois / Marc Rioufol, 剧情 / 爱情 / 同性, 法国
160,2007年,10A,[黑眼圈](https://movie.douban.com/subject/1871738/),2006.0,7.4, 蔡明亮, 李康生 / 陈湘琪 / 诺曼·阿顿, 喜剧 / 剧情, 中国台湾/法国/奥地利/马来西亚
161,2007年,10B,[别碰斧子 Ne touchez pas la hache](https://movie.douban.com/subject/1962974/),2007.0,7.2, 雅克·里维特, 让娜·巴利巴尔 / 吉约姆·德帕迪约 / 布鲁·欧吉尔, 剧情 / 音乐 / 爱情, 法国/意大利
162,2007年,10C,[恋爱症候群 แสงศตวรรษ](https://movie.douban.com/subject/1857095/),2006.0,7.9, 阿彼察邦·韦拉斯哈古, Nantarat Sawaddikul / Jaruchai Iamaram / Sophon Pukanok, 剧情, 泰国/法国/奥地利
163,2006年,1,[心之归属 Cœurs](https://movie.douban.com/subject/1842721/),2006.0,7.5, 阿伦·雷乃, 萨宾·阿泽玛 / 伊莎贝尔·卡雷 / 劳拉·莫兰特, 剧情 / 爱情, 法国/意大利
164,2006年,2,[太阳 Солнце](https://movie.douban.com/subject/1440379/),2005.0,7.8, 亚历山大·索科洛夫, 尾形一成 / Robert Dawson / 桃井薰, 剧情 / 历史, 俄罗斯/意大利/瑞士/法国
165,2006年,3,[汉江怪物 괴물](https://movie.douban.com/subject/1763134/),2006.0,7.6, 奉俊昊, 宋康昊 / 边希峰 / 朴海日, 剧情 / 动作 / 科幻 / 恐怖, 韩国
166,2006年,4,[查泰莱夫人的情人 Lady Chatterley](https://movie.douban.com/subject/1917080/),2006.0,6.5, 帕斯卡尔·费兰, Marina Hands / Jean-Louis Coullo'ch / 埃莱娜·菲利埃, 剧情 / 爱情, 比利时/法国/英国
167,2006年,5,[现代离婚故事 Un couple parfait](https://movie.douban.com/subject/1951148/),2005.0,7.8, 诹访敦彦, 瓦莱丽亚·布鲁尼·泰德斯基 / 布鲁诺·托德契尼 / 娜塔莉·布伏, 剧情, 日本/法国
168,2006年,6,[他们的约会 Quei loro incontri](https://movie.douban.com/subject/1868870/),2006.0,7.3, 达尼埃尔·于伊耶 / 让-马里·斯特劳布, Angela Nugara / Vittorio Vigneri / Grazia Orsi, 剧情, 意大利/法国
169,2006年,7,[水中女妖 Lady in the Water](https://movie.douban.com/subject/1441473/),2006.0,5.7, M·奈特·沙马兰, 保罗·吉亚玛提 / 布莱丝·达拉斯·霍华德 / 杰弗里·怀特, 悬疑 / 奇幻 / 惊悚, 美国
170,2006年,8,[卡波特 Capote](https://movie.douban.com/subject/1422957/),2005.0,7.9, 贝尼特·米勒, 菲利普·塞默·霍夫曼 / 凯瑟琳·基纳 / 小克利夫顿·克林斯, 剧情 / 传记 / 犯罪 / 同性, 加拿大/美国
171,2006年,9,[无间道风云 The Departed](https://movie.douban.com/subject/1315316/),2006.0,7.3, 马丁·斯科塞斯, 莱昂纳多·迪卡普里奥 / 马特·达蒙 / 杰克·尼科尔森, 剧情 / 犯罪 / 惊悚, 美国/中国香港
172,2006年,10A,[父辈的旗帜 Flags of Our Fathers](https://movie.douban.com/subject/1478066/),2006.0,7.8, 克林特·伊斯特伍德, 瑞恩·菲利普 / 杰西·布拉德福特 / 亚当·比奇, 剧情 / 历史 / 战争, 美国
173,2006年,10B,[新世界 The New World](https://movie.douban.com/subject/1419942/),2005.0,7.1, 泰伦斯·马力克, 科林·法瑞尔 / 考莉安卡·基尔彻 / 克里斯蒂安·贝尔, 剧情 / 爱情 / 传记 / 历史, 美国/英国
174,2005年,1,[最后的日子 Last Days](https://movie.douban.com/subject/1309218/),2005.0,7.0, 格斯·范·桑特, 迈克尔·皮特 / 卢卡斯·哈斯 / 艾莎·阿基多, 传记 / 剧情 / 音乐, 美国
175,2005年,2,[暴力史 A History of Violence](https://movie.douban.com/subject/1422917/),2005.0,7.5, 大卫·柯南伯格, 维果·莫腾森 / 玛丽亚·贝罗 / 艾德·哈里斯, 动作 / 犯罪 / 剧情 / 惊悚, 加拿大/美国
176,2005年,3,[平凡情人 Les amants réguliers](https://movie.douban.com/subject/1423038/),2005.0,7.6, 菲利普·加瑞尔, 路易·加瑞尔 / 克洛蒂尔德·埃斯姆 / 朱利安·卢卡, 剧情, 法国
177,2005年,4,[世界](https://movie.douban.com/subject/1309087/),2004.0,7.5, 贾樟柯, 赵涛 / 成泰燊 / 黄依群, 剧情, 中国大陆/日本/法国
178,2005年,5,[小上尉 Le Petit Lieutenant](https://movie.douban.com/subject/1806348/),2005.0,7.2, 泽维尔·布瓦, 纳塔莉·贝伊 / 加里·勒斯培 / 罗什迪·泽姆, 犯罪 / 剧情, 法国
179,2005年,6,[最好的时光 最好的時光](https://movie.douban.com/subject/1421809/),2005.0,7.6, 侯孝贤, 舒淇 / 张震 / 梅芳, 剧情 / 爱情, 中国台湾
180,2005年,7,[三分之一的眼睛 1/3 des yeux](https://movie.douban.com/subject/1958656/),2005.0, , Olivier Zabat, , 纪录片, 法国
181,2005年,8,[和我在一起 Be with Me](https://movie.douban.com/subject/1757375/),2005.0,7.9, 邱金海, Theresa Poh Lin Chan / Seet Keng Yew / Ezann Lee, 剧情 / 爱情, 新加坡
182,2005年,9,[剧场前 극장전](https://movie.douban.com/subject/1417309/),2005.0,7.4, 洪常秀, 李己雨 / 金相庆 / 严志媛, 剧情 / 爱情, 韩国
183,2005年,10A,[灰熊人 Grizzly Man](https://movie.douban.com/subject/1422951/),2005.0,8.4, 沃纳·赫尔佐格, Timothy Treadwell / Amie Huguenard / Werner Herzog, 纪录片 / 传记, 美国
184,2005年,10B,[罪恶之城 Sin City](https://movie.douban.com/subject/1309027/),2005.0,8.4, 弗兰克·米勒 / 罗伯特·罗德里格兹 / 昆汀·塔伦蒂诺, 杰西卡·阿尔芭 / 布鲁斯·威利斯 / 克里夫·欧文, 动作 / 犯罪 / 惊悚, 美国
185,2004年,1,[热带疾病 สัตว์ประหลาด](https://movie.douban.com/subject/1414808/),2004.0,8.0, 阿彼察邦·韦拉斯哈古, 班罗普·洛罗伊 / 萨卡达·卡温巴迪 / Huai Dessom, 剧情 / 爱情 / 奇幻, 泰国/法国/德国/意大利
186,2004年,2,[铁西区第一部分：工厂](https://movie.douban.com/subject/1309215/),2003.0,8.6, 王兵, , 纪录片, 中国大陆
187,2004年,2,[铁西区第二部分：艳粉街](https://movie.douban.com/subject/1309221/),2003.0,8.8,王兵, ,纪录片,中国大陆
188,2004年,2,[铁西区第三部分：铁路](https://movie.douban.com/subject/1309219/),2003.0,8.8,王兵, ,纪录片,中国大陆
189,2004年,3,[神秘村 The Village](https://movie.douban.com/subject/1309153/),2004.0,7.0, M·奈特·沙马兰, 布莱丝·达拉斯·霍华德 / 华金·菲尼克斯 / 阿德里安·布罗迪, 悬疑 / 惊悚, 美国
190,2004年,4,[沙罗双树 沙羅双樹](https://movie.douban.com/subject/1302015/),2003.0,7.7, 河濑直美, 福永幸平 / 兵头佑香 / 河濑直美, 剧情, 日本
191,2004年,5,[国王与王后 Rois et Reine](https://movie.douban.com/subject/1437165/),2004.0,8.0, 阿诺·戴普勒尚, 艾曼纽·德芙 / 杰弗里·凯里 / 奥利维尔·雷堡汀, 剧情 / 喜剧 / 爱情, 法国
192,2004年,6,[棕兔 The Brown Bunny](https://movie.douban.com/subject/1302091/),2003.0,6.5, 文森特·加洛, 文森特·加洛 / 科洛·塞维尼 / 谢丽尔·提格丝, 剧情, 美国/日本
193,2004年,7,"S21红色高棉杀人机器 S-21, la machine de mort Khmère rouge",2004, ,潘礼德, , ,柬埔寨
194,2004年,8,[咖啡时光 珈琲時光](https://movie.douban.com/subject/1310166/),2003.0,7.4, 侯孝贤, 一青窈 / 浅野忠信 / 萩原圣人, 剧情, 日本/中国台湾
195,2004年,9,[杀死比尔2 Kill Bill: Vol. 2](https://movie.douban.com/subject/1291584/),2004.0,8.1, 昆汀·塔伦蒂诺, 乌玛·瑟曼 / 大卫·卡拉丁 / 刘家辉, 动作 / 犯罪 / 惊悚, 美国
196,2004年,10,[萨拉邦德 Saraband](https://movie.douban.com/subject/1353734/),2003.0,8.2, 英格玛·伯格曼, 丽芙·乌曼 / 厄兰·约瑟夫森 / 伯杰·阿斯特, 剧情, 瑞典/丹麦/挪威/意大利/芬兰/德国/奥地利
197,2002年,1A,[都会性男女 Choses secrètes](https://movie.douban.com/subject/1307246/),2002.0,6.9, 让-克洛德·布里索, 布朗迪娜·比里 / Fabrice Deville / Sabrina Seyvecou, 喜剧 / 剧情 / 奇幻 / 爱情, 法国
198,2002年,1B,[十段生命的律动 ده](https://movie.douban.com/subject/1300911/),2002.0,7.6, 阿巴斯·基亚罗斯塔米, 玛尼亚·艾巴利 / Amin Maher / Kamran Adl, 剧情, 伊朗/法国
199,2002年,3,[祝福 สุดเสน่หา](https://movie.douban.com/subject/1307997/),2002.0,7.8, 阿彼察邦·韦拉斯哈古, Kanokporn Tongaram / Min Oo / 金吉拉·潘帕斯, 剧情 / 爱情, 泰国/法国
200,2002年,4,[另一边 De l'autre côté](https://movie.douban.com/subject/1307538/),2002.0,7.1, 香特尔·阿克曼, , 纪录片, 澳大利亚/比利时/芬兰/法国
201,2002年,5,[测不准原理 O Princípio da Incerteza](https://movie.douban.com/subject/1302855/),2002.0,7.5, 曼努埃尔·德·奥利维拉, Leonor Baldaque / Leonor Silveira / Isabel Ruth, 剧情, 法国/葡萄牙
202,2002年,6,[信仰时分 L'ora di religione (Il sorriso di mia madre)](https://movie.douban.com/subject/1300597/),2002.0,7.1, 马可·贝洛基奥, 赛尔乔·卡斯特利托 / Jacqueline Lustig / 琪娅拉·康蒂, 剧情, 意大利
203,2002年,7,[对她说 Hable con ella](https://movie.douban.com/subject/1292211/),2002.0,8.5, 佩德罗·阿莫多瓦, 哈维尔·卡马拉 / 达里奥·格兰迪内蒂 / 蕾欧诺·瓦特林, 剧情 / 爱情, 西班牙
204,2002年,8A,[千与千寻 千と千尋の神隠し](https://movie.douban.com/subject/1291561/),2001.0,9.4, 宫崎骏, 柊瑠美 / 入野自由 / 夏木真理, 剧情 / 动画 / 奇幻, 日本
205,2002年,8B,[蜘蛛梦魇 Spider](https://movie.douban.com/subject/1305408/),2002.0,7.2, 大卫·柯南伯格, 拉尔夫·费因斯 / 米兰达·理查森 / 加布里埃尔·伯恩, 剧情 / 悬疑, 加拿大/英国
