Index,Tag,Eclipse-Series,Spine #,Title,Director,Country,Year,豆瓣电影,豆瓣年份,豆瓣打分,豆瓣信息,IMDb电影,IMDb原名,IMDb年份,IMDb评分,IMDb信息
0,eclipse,Eclipse Series 1,#,[Eclipse Series 1: Early Bergman](https://www.criterion.com/boxsets/232-eclipse-series-1-early-bergman), , , ,**Eclipse Series 1: Early Bergman 伯格曼早期作品**, , , ,Eclipse Series 1: Early Bergman, , , , 
1,eclipse,Eclipse Series 1, ,Torment,Alf Sjöberg,Sweden,1944.0,[折磨 Hets](https://movie.douban.com/subject/1300641/),1944,7.3,导演: 阿尔夫·斯约堡; 类型: 剧情; 地区: 瑞典,[Torment](https://www.imdb.com/title/tt0036914/),Hets,1944.0,7.3,"95 min | Drama, Romance"
2,eclipse,Eclipse Series 1, ,Crisis,Ingmar Bergman,Sweden,1946.0,[危机 Kris](https://movie.douban.com/subject/1464774/),1946,6.7,导演: 英格玛·伯格曼; 类型: 剧情; 地区: 瑞典,[Crisis](https://www.imdb.com/title/tt0038675/),Kris,1946.0,6.4,"Not Rated | 93 min | Drama, Romance"
3,eclipse,Eclipse Series 1, ,Port of Call,Ingmar Bergman,Sweden,1948.0,[爱欲之港 Hamnstad](https://movie.douban.com/subject/1475172/),1948,6.8,导演: 英格玛·伯格曼; 类型: 剧情; 地区: 瑞典,[Port of Call](https://www.imdb.com/title/tt0040418/),Hamnstad,1948.0,6.6,Not Rated | 100 min | Drama
4,eclipse,Eclipse Series 1, ,Thirst,Ingmar Bergman,Sweden,1949.0,[三个陌生的情人 Törst](https://movie.douban.com/subject/1772177/),1949,6.8,导演: 英格玛·伯格曼; 类型: 剧情; 地区: 瑞典,[Thirst](https://www.imdb.com/title/tt0041998/),Törst,1949.0,6.5,Not Rated | 83 min | Drama
5,eclipse,Eclipse Series 1, ,To Joy,Ingmar Bergman,Sweden,1950.0,[喜悦 Till glädje](https://movie.douban.com/subject/1468268/),1950,7.3,导演: 英格玛·伯格曼; 类型: 剧情; 地区: 瑞典,[To Joy](https://www.imdb.com/title/tt0043048/),Till glädje,1950.0,7.2,Not Rated | 98 min | Drama
6,eclipse,Eclipse Series 2,#,[Eclipse Series 2: The Documentaries of Louis Malle](https://www.criterion.com/boxsets/275-eclipse-series-2-the-documentaries-of-louis-malle), , , ,**Eclipse Series 2: The Documentaries of Louis Malle 路易·马勒的纪录片**, , , ,Eclipse Series 2: The Documentaries of Louis Malle, , , , 
7,eclipse,Eclipse Series 2, ,Vive le Tour,Louis Malle,France,1962.0,[环法万岁 Vive le tour](https://movie.douban.com/subject/1451569/),1962,8.3,导演: 路易·马勒 Louis Malle; 类型: 纪录片; 地区: 法国,[Vive le tour](https://www.imdb.com/title/tt0056662/), ,1962.0,7.4,"18 min | Documentary, Short, Sport"
8,eclipse,Eclipse Series 2, ,"Humain, trop humain",Louis Malle,France,1973.0,"[人性，太人性 Humain, trop humain](https://movie.douban.com/subject/1451572/)",1974,7.7,导演: 路易·马勒; 类型: 纪录片; 地区: 法国,"[Humain, trop humain](https://www.imdb.com/title/tt0071635/)", ,1974.0,6.4,75 min | Documentary
9,eclipse,Eclipse Series 2, ,Place de la République,Louis Malle,France,1974.0,[共和广场 Place de la République](https://movie.douban.com/subject/1451577/),1974,8.2,导演: 路易·马勒; 类型: 纪录片; 地区: 法国,[Place de la République](https://www.imdb.com/title/tt0071999/), ,1974.0,7.1,94 min | Documentary
10,eclipse,Eclipse Series 2, ,Phantom India,Louis Malle,France,1969.0,[印度魅影 L'Inde fantôme](https://movie.douban.com/subject/1767819/),1969,8.2,类型: 纪录片; 地区: France,[Phantom India](https://www.imdb.com/title/tt0063914/),L'Inde fantôme,1969.0,8.1,378 min | Documentary
11,eclipse,Eclipse Series 2, ,Calcutta,Louis Malle,France,1969.0,[加尔各答 Calcutta](https://movie.douban.com/subject/1767822/),1969,8.3,导演: 路易·马勒; 类型: 纪录片; 地区: 法国,[Calcutta](https://www.imdb.com/title/tt0062773/), ,1969.0,7.2,105 min | Documentary
12,eclipse,Eclipse Series 2, ,God’s Country,Louis Malle,United States,1985.0,[上帝的国度 God's Country](https://movie.douban.com/subject/1451575/),1985,8.3,导演: 路易·马勒; 类型: 纪录片; 地区: 美国,[God's Country](https://www.imdb.com/title/tt0091125/), ,1985.0,7.5,90 min | Documentary
13,eclipse,Eclipse Series 2, ,. . . And the Pursuit of Happiness,Louis Malle,France,1986.0,[追逐快乐 ...And the Pursuit of Happiness](https://movie.douban.com/subject/1451579/),1986,8.2,导演: 路易·马勒; 类型: 纪录片; 地区: 美国,[...and the Pursuit of Happiness](https://www.imdb.com/title/tt0092561/),...And the Pursuit of Happiness,1986.0,7.2,80 min | Documentary
14,eclipse,Eclipse Series 3,#,[Eclipse Series 3: Late Ozu](https://www.criterion.com/boxsets/427-eclipse-series-3-late-ozu), , , ,**Eclipse Series 3: Late Ozu 小津安二郎晚期作品**, , , ,Eclipse Series 3: Late Ozu, , , , 
15,eclipse,Eclipse Series 3, ,Early Spring,Yasujiro Ozu,Japan,1956.0,[早春](https://movie.douban.com/subject/1298704/),1956,8.1,导演: 小津安二郎; 类型: 剧情; 地区: 日本,[Early Spring](https://www.imdb.com/title/tt0049784/),Sôshun,1956.0,7.8,145 min | Drama
16,eclipse,Eclipse Series 3, ,Tokyo Twilight,Yasujiro Ozu,Japan,1957.0,[东京暮色 東京暮色](https://movie.douban.com/subject/1300842/),1957,8.3,导演: 小津安二郎; 类型: 剧情; 地区: 日本,[Tokyo Twilight](https://www.imdb.com/title/tt0051093/),Tôkyô boshoku,1957.0,8.1,Not Rated | 140 min | Drama
17,eclipse,Eclipse Series 3, ,Equinox Flower,Yasujiro Ozu,Japan,1958.0,[彼岸花](https://movie.douban.com/subject/1296834/),1958,8.3,导演: 小津安二郎; 类型: 剧情; 地区: 日本,[Equinox Flower](https://www.imdb.com/title/tt0051720/),Higanbana,1958.0,7.8,"118 min | Comedy, Drama"
18,eclipse,Eclipse Series 3, ,Late Autumn,Yasujiro Ozu,Japan,1960.0,[秋日和](https://movie.douban.com/subject/1401843/),1960,8.4,导演: 小津安二郎; 类型: 剧情; 地区: 日本,[Late Autumn](https://www.imdb.com/title/tt0053579/),Akibiyori,1960.0,7.9,"Not Rated | 128 min | Comedy, Drama"
19,eclipse,Eclipse Series 3, ,The End of Summer,Yasujiro Ozu,Japan,1961.0,[小早川家之秋 小早川家の秋](https://movie.douban.com/subject/1306069/),1961,8.2,导演: 小津安二郎; 类型: 剧情; 地区: 日本,[The End of Summer](https://www.imdb.com/title/tt0055052/),Kohayagawa-ke no aki,1961.0,7.7,103 min | Drama
20,eclipse,Eclipse Series 4,#,[Eclipse Series 4: Raymond Bernard](https://www.criterion.com/boxsets/494-eclipse-series-4-raymond-bernard), , , ,**Eclipse Series 4: Raymond Bernard 雷蒙德•伯纳德**, , , ,Eclipse Series 4: Raymond Bernard, , , , 
21,eclipse,Eclipse Series 4, ,Wooden Crosses,Raymond Bernard,France,1932.0,[木十字架 Les Croix de bois](https://movie.douban.com/subject/2119422/),1932,7.8,导演: 雷蒙·贝尔纳; 类型: 剧情; 地区: 法国,[Wooden Crosses](https://www.imdb.com/title/tt0022787/),Les croix de bois,1932.0,7.7,"Not Rated | 115 min | Drama, War"
22,eclipse,Eclipse Series 4, ,Les misérables,Raymond Bernard,France,1934.0,[悲惨世界 Les Misérables](https://movie.douban.com/subject/2119426/),1934,8.9,导演: Raymond Bernard; 类型: 剧情; 地区: 法国,[Les Misérables](https://www.imdb.com/title/tt0025509/),Les misérables,1934.0,8.3,Not Rated | 281 min | Drama
23,eclipse,Eclipse Series 5,#,[Eclipse Series 5: The First Films of Samuel Fuller](https://www.criterion.com/boxsets/499-eclipse-series-5-the-first-films-of-samuel-fuller), , , ,**Eclipse Series 5: Raymond Bernard 塞缪尔·富勒早期作品**, , , ,Eclipse Series 5: The First Films of Samuel Fuller, , , , 
24,eclipse,Eclipse Series 5, ,I Shot Jesse James,Samuel Fuller,United States,1949.0,[击毙杰西·詹姆斯 I Shot Jesse James](https://movie.douban.com/subject/2119430/),1949,7.5,导演: 塞缪尔·富勒; 类型: 剧情; 地区: 美国,[I Shot Jesse James](https://www.imdb.com/title/tt0041497/), ,1949.0,6.8,Approved | 81 min | Western
25,eclipse,Eclipse Series 5, ,The Baron of Arizona,Samuel Fuller,United States,1950.0,[奸雄末路 The Baron of Arizona](https://movie.douban.com/subject/1305784/),1950,7.6,导演: 塞缪尔·富勒; 类型: 剧情; 地区: 美国,[The Baron of Arizona](https://www.imdb.com/title/tt0042229/), ,1950.0,7.0,"Approved | 97 min | Biography, Crime, Drama"
26,eclipse,Eclipse Series 5, ,The Steel Helmet,Samuel Fuller,United States,1951.0,[钢盔 The Steel Helmet](https://movie.douban.com/subject/1299318/),1951,6.8,导演: 塞缪尔·富勒; 类型: 动作; 地区: 美国,[The Steel Helmet](https://www.imdb.com/title/tt0044072/), ,1951.0,7.4,"Approved | 85 min | Action, Drama, War"
27,eclipse,Eclipse Series 6,#,[Eclipse Series 6: Carlos Saura’s Flamenco Trilogy](https://www.criterion.com/boxsets/502-eclipse-series-6-carlos-sauras-flamenco-trilogy), , , ,**Eclipse Series 6: Carlos Saura's Flamenco Trilogy 卡洛斯·绍拉弗拉门戈三部曲**, , , ,Eclipse Series 6: Carlos Saura’s Flamenco Trilogy, , , , 
28,eclipse,Eclipse Series 6, ,Blood Wedding,Carlos Saura,Spain,1981.0,[血婚 Bodas de sangre](https://movie.douban.com/subject/1300849/),1981,8.0,导演: 卡洛斯·绍拉; 类型: 剧情; 地区: 西班牙/法国,[Blood Wedding](https://www.imdb.com/title/tt0082088/),Bodas de sangre,1981.0,7.5,"Not Rated | 67 min | Drama, Music, Romance"
29,eclipse,Eclipse Series 6, ,Carmen,Carlos Saura,Spain,1983.0,[卡门 Carmen](https://movie.douban.com/subject/1303061/),1983,8.2,导演: 卡洛斯·绍拉; 类型: 剧情; 地区: 西班牙,[Carmen](https://www.imdb.com/title/tt0085297/), ,1983.0,7.5,"R | 102 min | Drama, Music, Romance"
30,eclipse,Eclipse Series 6, ,El amor brujo,Carlos Saura,Spain,1986.0,[爱情魔术师 El amor brujo](https://movie.douban.com/subject/1436721/),1986,7.0,导演: 卡洛斯·绍拉; 类型: 音乐; 地区: 西班牙,[El amor brujo](https://www.imdb.com/title/tt0090636/), ,1986.0,7.0,"PG | 100 min | Music, Drama"
31,eclipse,Eclipse Series 7,#,[Eclipse Series 7: Postwar Kurosawa](https://www.criterion.com/boxsets/512-eclipse-series-7-postwar-kurosawa), , , ,**Eclipse Series 7: Postwar Kurosawa 战后黑泽明**, , , ,Eclipse Series 7: Postwar Kurosawa, , , , 
32,eclipse,Eclipse Series 7, ,No Regrets for Our Youth,Akira Kurosawa,Japan,1946.0,[我对青春无悔 わが青春に悔なし](https://movie.douban.com/subject/1301260/),1946,7.3,导演: 黑泽明; 类型: 剧情; 地区: 日本,[No Regrets for Our Youth](https://www.imdb.com/title/tt0039090/),Waga seishun ni kuinashi,1946.0,7.1,PG | 110 min | Drama
33,eclipse,Eclipse Series 7, ,One Wonderful Sunday,Akira Kurosawa,Japan,1947.0,[美好的星期天 素晴らしき日曜日](https://movie.douban.com/subject/1295751/),1947,7.6,导演: 黑泽明; 类型: 剧情; 地区: 日本,[One Wonderful Sunday](https://www.imdb.com/title/tt0039871/),Subarashiki nichiyôbi,1947.0,7.2,"Not Rated | 108 min | Drama, Romance"
34,eclipse,Eclipse Series 7, ,Scandal,Akira Kurosawa,Japan,1950.0,[丑闻 醜聞](https://movie.douban.com/subject/1293162/),1950,7.3,导演: 黑泽明; 类型: 剧情; 地区: 日本,[Scandal](https://www.imdb.com/title/tt0042958/),Shûbun,1950.0,7.2,Approved | 105 min | Drama
35,eclipse,Eclipse Series 7, ,The Idiot,Akira Kurosawa,Japan,1951.0,[白痴](https://movie.douban.com/subject/1293017/),1951,6.9,导演: 黑泽明; 类型: 剧情; 地区: 日本,[The Idiot](https://www.imdb.com/title/tt0043614/),Hakuchi,1951.0,7.2,"Not Rated | 166 min | Drama, Romance"
36,eclipse,Eclipse Series 7, ,I Live in Fear,Akira Kurosawa,Japan,1955.0,[活人的记录 生きものの記録](https://movie.douban.com/subject/1302062/),1955,7.5,导演: 黑泽明; 类型: 剧情; 地区: 日本,[I Live in Fear](https://www.imdb.com/title/tt0048198/),Ikimono no kiroku,1955.0,7.3,103 min | Drama
37,eclipse,Eclipse Series 8,#,[Eclipse Series 8: Lubitsch Musicals](https://www.criterion.com/boxsets/517-eclipse-series-8-lubitsch-musicals), , , ,**Eclipse Series 8: Lubitsch Musicals 刘别谦歌舞片**, , , ,Eclipse Series 8: Lubitsch Musicals, , , , 
38,eclipse,Eclipse Series 8, ,The Love Parade,Ernst Lubitsch,United States,1929.0,[璇宫艳史 The Love Parade](https://movie.douban.com/subject/1292537/),1929,7.0,导演: 恩斯特·刘别谦; 类型: 喜剧; 地区: 美国,[The Love Parade](https://www.imdb.com/title/tt0020112/), ,1929.0,7.0,"Passed | 107 min | Comedy, Musical, Romance"
39,eclipse,Eclipse Series 8, ,Monte Carlo,Ernst Lubitsch,United States,1930.0,[赌城艳史 Monte Carlo](https://movie.douban.com/subject/1299727/),1930,6.5,导演: 恩斯特·刘别谦; 类型: 喜剧; 地区: 美国,[Monte Carlo](https://www.imdb.com/title/tt0021153/), ,1930.0,6.7,"Passed | 90 min | Comedy, Musical, Romance"
40,eclipse,Eclipse Series 8, ,The Smiling Lieutenant,Ernst Lubitsch,United States,1931.0,[驸马艳史 The Smiling Lieutenant](https://movie.douban.com/subject/1298994/),1931,6.9,导演: 恩斯特·刘别谦; 类型: 喜剧; 地区: 美国,[The Smiling Lieutenant](https://www.imdb.com/title/tt0022074/), ,1931.0,7.2,"Passed | 93 min | Comedy, Musical, Romance"
41,eclipse,Eclipse Series 8, ,One Hour with You,Ernst Lubitsch,United States,1932.0,[红楼艳史 One Hour with You](https://movie.douban.com/subject/1295205/),1932,7.0,导演: 乔治·库克; 类型: 喜剧; 地区: 美国,[One Hour with You](https://www.imdb.com/title/tt0023303/), ,1932.0,7.1,"Passed | 78 min | Comedy, Musical, Romance"
42,eclipse,Eclipse Series 9,#,[Eclipse Series 9: The Delirious Fictions of William Klein](https://www.criterion.com/boxsets/521-eclipse-series-9-the-delirious-fictions-of-william-klein), , , ,**Eclipse Series 9: The Delirious Fictions of William Klein 威廉·克莱恩狂想诗**, , , ,Eclipse Series 9: The Delirious Fictions of William Klein, , , , 
43,eclipse,Eclipse Series 9, ,"Who Are You, Polly Maggoo?",William Klein,France,1966.0,"[你是谁，波莉·玛古？ Qui êtes-vous, Polly Maggoo?](https://movie.douban.com/subject/1764818/)",1966,8.0,导演: 威廉姆·克莱因; 类型: 喜剧; 地区: 法国,"[Who Are You, Polly Maggoo?](https://www.imdb.com/title/tt0060879/)","Qui êtes-vous, Polly Maggoo ?",1966.0,6.8,"Not Rated | 101 min | Comedy, Drama"
44,eclipse,Eclipse Series 9, ,Mr. Freedom,William Klein,France,1969.0,[自由先生 Mr. Freedom](https://movie.douban.com/subject/1922304/),1969,7.6,导演: 威廉姆·克莱因; 类型: 喜剧; 地区: 法国,[Mr. Freedom](https://www.imdb.com/title/tt0064674/), ,1968.0,6.4,"Not Rated | 95 min | Comedy, Crime"
45,eclipse,Eclipse Series 9, ,The Model Couple,William Klein,France,1977.0,[模特儿夫妻 Le Couple témoin](https://movie.douban.com/subject/2352594/),1977,6.8,导演: 威廉姆·克莱因; 类型: 喜剧; 地区: 法国/瑞士,[The Model Couple](https://www.imdb.com/title/tt0191053/),Le couple témoin,1977.0,6.3,"Not Rated | 101 min | Comedy, Sci-Fi"
46,eclipse,Eclipse Series 10,#,[Eclipse Series 10: Silent Ozu—Three Family Comedies](https://www.criterion.com/boxsets/532-eclipse-series-10-silent-ozuthree-family-comedies), , , ,**Eclipse Series 10: Silent Ozu—Three Family Comedies 小津安二郎家庭喜剧三部曲**, , , ,Eclipse Series 10: Silent Ozu—Three Family Comedies, , , , 
47,eclipse,Eclipse Series 10, ,Tokyo Chorus,Yasujiro Ozu,Japan,1931.0,[东京合唱 東京の合唱](https://movie.douban.com/subject/1304563/),1931,7.3,导演: 小津安二郎; 类型: 喜剧; 地区: 日本,[Tokyo Chorus](https://www.imdb.com/title/tt0022485/),Tôkyô no kôrasu,1931.0,7.1,"90 min | Comedy, Drama"
48,eclipse,Eclipse Series 10, ,"I Was Born, But . . .",Yasujiro Ozu,Japan,1932.0,[我出生了，但…… 大人の見る絵本 生れてはみたけれど](https://movie.douban.com/subject/1299360/),1932,8.7,导演: 小津安二郎; 类型: 喜剧; 地区: 日本,"[I Was Born, But...](https://www.imdb.com/title/tt0023634/)",Otona no miru ehon - Umarete wa mita keredo,1932.0,7.9,"Not Rated | 100 min | Comedy, Drama"
49,eclipse,Eclipse Series 10, ,Passing Fancy,Yasujiro Ozu,Japan,1933.0,[心血来潮 出来ごころ](https://movie.douban.com/subject/1307294/),1933,7.7,导演: 小津安二郎; 类型: 剧情; 地区: 日本,[Passing Fancy](https://www.imdb.com/title/tt0023937/),Dekigokoro,1933.0,7.2,100 min | Drama
50,eclipse,Eclipse Series 11,#,[Eclipse Series 11: Larisa Shepitko](https://www.criterion.com/boxsets/75-eclipse-series-11-larisa-shepitko), , , ,**Eclipse Series 11: Larisa Shepitko 拉丽萨·舍皮蒂柯**, , , ,Eclipse Series 11: Larisa Shepitko, , , , 
51,eclipse,Eclipse Series 11, ,Wings,Larisa Shepitko,Soviet Union,1966.0,[翼 Крылья](https://movie.douban.com/subject/1471651/),1966,8.0,导演: 拉莉萨·舍皮琴科; 类型: 剧情; 地区: 苏联,[Wings](https://www.imdb.com/title/tt0061196/),Krylya,1966.0,7.6,85 min | Drama
52,eclipse,Eclipse Series 11,Spine #1063,The Ascent,Larisa Shepitko,Soviet Union,1977.0,[上升 Восхождение](https://movie.douban.com/subject/1303255/),1977,8.1,导演: 拉莉萨·舍皮琴科; 类型: 剧情; 地区: 苏联,[The Ascent](https://www.imdb.com/title/tt0075404/),Voskhozhdenie,1977.0,8.2,"111 min | Drama, War"
53,eclipse,Eclipse Series 12,#,[Eclipse Series 12: Aki Kaurismäki’s Proletariat Trilogy](https://www.criterion.com/boxsets/564-eclipse-series-12-aki-kaurismkis-proletariat-trilogy), , , ,**Eclipse Series 12: Aki Kaurismäki's Proletariat Trilogy 阿基·郭利斯马基无产阶级三部曲**, , , ,Eclipse Series 12: Aki Kaurismäki’s Proletariat Trilogy, , , , 
54,eclipse,Eclipse Series 12, ,Shadows in Paradise,Aki Kaurismäki,Finland,1986.0,[天堂孤影 Varjoja paratiisissa](https://movie.douban.com/subject/1401894/),1986,8.2,导演: 阿基·考里斯马基; 类型: 剧情; 地区: 芬兰,[Shadows in Paradise](https://www.imdb.com/title/tt0092149/),Varjoja paratiisissa,1986.0,7.5,"Not Rated | 74 min | Comedy, Drama, Music"
55,eclipse,Eclipse Series 12, ,Ariel,Aki Kaurismäki,Finland,1988.0,[升空号 Ariel](https://movie.douban.com/subject/1303377/),1988,8.2,导演: 阿基·考里斯马基; 类型: 喜剧; 地区: 芬兰,[Ariel](https://www.imdb.com/title/tt0094675/), ,1988.0,7.5,"Not Rated | 72 min | Comedy, Crime, Romance"
56,eclipse,Eclipse Series 12, ,The Match Factory Girl,Aki Kaurismäki,Finland,1990.0,火柴厂女工 Tulitikkutehtaan tyttö,1990, ,导演: 阿基·考里斯马基; 地区: 芬兰,[The Match Factory Girl](https://www.imdb.com/title/tt0098532/),Tulitikkutehtaan tyttö,1990.0,7.5,"Not Rated | 69 min | Comedy, Crime, Drama"
57,eclipse,Eclipse Series 13,#,[Eclipse Series 13: Kenji Mizoguchi’s Fallen Women](https://www.criterion.com/boxsets/571-eclipse-series-13-kenji-mizoguchis-fallen-women), , , ,**Eclipse Series 13: Kenji Mizoguchi's Fallen Women 沟口健二的堕落花**, , , ,Eclipse Series 13: Kenji Mizoguchi’s Fallen Women, , , , 
58,eclipse,Eclipse Series 13, ,Osaka Elegy,Kenji Mizoguchi,Japan,1936.0,[浪华悲歌 浪華悲歌](https://movie.douban.com/subject/1297556/),1936,7.3,导演: 沟口健二; 类型: 剧情; 地区: 日本,[Osaka Elegy](https://www.imdb.com/title/tt0028021/),Naniwa erejî,1936.0,7.2,"90 min | Comedy, Drama"
