Title 电影,Rank 排名,Score 打分,Year 年份
[教父 / The Godfather](https://www.themoviedb.org/movie/238),🎉001,🌟87.10,1972
[肖申克的救赎 / The Shawshank Redemption](https://www.themoviedb.org/movie/278),🎉002,🌟87.04,1994
[教父2 / The Godfather Part II](https://www.themoviedb.org/movie/240),🎉003,🌟85.91,1974
[辛德勒的名单 / Schindler's List](https://www.themoviedb.org/movie/424),🎉004,🌟85.73,1993
[勇夺芳心 / Dilwale Dulhania Le Jayenge](https://www.themoviedb.org/movie/19404),🎉005,🌟85.53,1995
[十二怒汉 / 12 Angry Men](https://www.themoviedb.org/movie/389),🎉006,🌟85.40,1957
[千与千寻 / Spirited Away](https://www.themoviedb.org/movie/129),🎉007,🌟85.40,2002
[寄生虫 / Parasite](https://www.themoviedb.org/movie/496243),🎉008,🌟85.15,2019
[你的名字 / Your Name.](https://www.themoviedb.org/movie/372058),🎉009,🌟85.14,2017
[蝙蝠侠：黑暗骑士 / The Dark Knight](https://www.themoviedb.org/movie/155),🎉010,🌟85.12,2008
[绿里奇迹 / The Green Mile](https://www.themoviedb.org/movie/497),🎉011,🌟85.08,1999
[低俗小说 / Pulp Fiction](https://www.themoviedb.org/movie/680),🎉012,🌟84.88,1994
[阿甘正传 / Forrest Gump](https://www.themoviedb.org/movie/13),🎉013,🌟84.77,2014
[指环王3：王者归来 / The Lord of the Rings: The Return of the King](https://www.themoviedb.org/movie/122),🎉014,🌟84.75,2003
"[黄金三镖客 / The Good, the Bad and the Ugly](https://www.themoviedb.org/movie/429)",🎉015,🌟84.73,1967
[好家伙 / GoodFellas](https://www.themoviedb.org/movie/769),🎉016,🌟84.66,1990
[萤火虫之墓 / Grave of the Fireflies](https://www.themoviedb.org/movie/12477),🎉017,🌟84.56,1989
[美丽人生 / Life Is Beautiful](https://www.themoviedb.org/movie/637),🎉018,🌟84.56,1998
[七武士 / Seven Samurai](https://www.themoviedb.org/movie/346),🎉019,🌟84.52,1956
[天堂电影院 / Cinema Paradiso](https://www.themoviedb.org/movie/11216),🎉020,🌟84.51,2002
[加百列的地狱1 / Gabriel's Inferno](https://www.themoviedb.org/movie/696374),🎉021,🌟84.46,2020
[搏击俱乐部 / Fight Club](https://www.themoviedb.org/movie/550),🎉022,🌟84.39,1999
[惊魂记 / Psycho](https://www.themoviedb.org/movie/539),🎉023,🌟84.36,1960
[上帝之城 / City of God](https://www.themoviedb.org/movie/598),🎉024,🌟84.33,2003
[蜘蛛侠：纵横宇宙 / Spider-Man: Across the Spider-Verse](https://www.themoviedb.org/movie/569094),🎉025,🌟84.00,2023
[美国往事 / Once Upon a Time in America](https://www.themoviedb.org/movie/311),🎉026,🌟84.28,1984
[泰勒·斯威夫特：“举世盛名”巡回演唱会 / Taylor Swift: Reputation Stadium Tour](https://www.themoviedb.org/movie/568332),🎉027,🌟84.26,2018
[加百列的地狱2 / Gabriel's Inferno: Part II](https://www.themoviedb.org/movie/724089),🎉028,🌟84.25,2020
[罗小黑战记 / The Legend of Hei](https://www.themoviedb.org/movie/620249),🎉029,🌟84.00,2021
[飞越疯人院 / One Flew Over the Cuckoo's Nest](https://www.themoviedb.org/movie/510),🎉030,🌟84.21,1975
[同级生 / Dou kyu sei – Classmates](https://www.themoviedb.org/movie/372754),🎉031,🌟84.20,2016
[星际穿越 / Interstellar](https://www.themoviedb.org/movie/157336),🎉032,🌟84.19,2014
[切腹 / Harakiri](https://www.themoviedb.org/movie/14537),🎉033,🌟84.10,1963
[哈尔的移动城堡 / Howl's Moving Castle](https://www.themoviedb.org/movie/4935),🎉034,🌟84.06,2005
[加百列的地狱3 / Gabriel's Inferno: Part III](https://www.themoviedb.org/movie/761053),🎉035,🌟84.06,2020
[蜘蛛侠：平行宇宙 / Spider-Man: Into the Spider-Verse](https://www.themoviedb.org/movie/324857),🎉036,🌟84.00,2018
[指环王1：护戒使者 / The Lord of the Rings: The Fellowship of the Ring](https://www.themoviedb.org/movie/120),🎉037,🌟84.04,2001
[声之形 / A Silent Voice: The Movie](https://www.themoviedb.org/movie/378064),🎉038,🌟84.03,2018
[星球大战2：帝国反击战 / The Empire Strikes Back](https://www.themoviedb.org/movie/1891),🎉039,🌟83.92,1980
[防弹少年团：燃烧舞台电影版 / Burn the Stage: The Movie](https://www.themoviedb.org/movie/553512),🎉040,🌟83.91,2019
"[男孩、鼹鼠、狐狸和马 / The Boy, the Mole, the Fox and the Horse](https://www.themoviedb.org/movie/995133)",🎉041,🌟83.86,2022
[指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers](https://www.themoviedb.org/movie/121),🎉042,🌟83.86,2002
[钢琴家 / The Pianist](https://www.themoviedb.org/movie/423),🎉043,🌟83.83,2002
[爆裂鼓手 / Whiplash](https://www.themoviedb.org/movie/244786),🎉044,🌟83.82,2014
[七宗罪 / Se7en](https://www.themoviedb.org/movie/807),🎉045,🌟83.68,1995
[盗梦空间 / Inception](https://www.themoviedb.org/movie/27205),🎉046,🌟83.65,2010
[萤火之森 / Hotarubi no Mori e](https://www.themoviedb.org/movie/92321),🎉047,🌟83.64,2012
[五等分的新娘 剧场版 / The Quintessential Quintuplets Movie](https://www.themoviedb.org/movie/820067),🎉048,🌟83.59,2022
[后窗 / Rear Window](https://www.themoviedb.org/movie/567),🎉049,🌟84.00,1954
[美国X档案 / American History X](https://www.themoviedb.org/movie/73),🎉050,🌟83.51,1998
"[乔西的虎与鱼 / Josee, the Tiger and the Fish](https://www.themoviedb.org/movie/652837)",🎉051,🌟83.00,2021
[沉默的羔羊 / The Silence of the Lambs](https://www.themoviedb.org/movie/274),🎉052,🌟83.43,1991
[生之欲 / Ikiru](https://www.themoviedb.org/movie/3782),🎉053,🌟83.38,1956
[幽灵公主 / Princess Mononoke](https://www.themoviedb.org/movie/128),🎉054,🌟83.38,1999
[大独裁者 / The Great Dictator](https://www.themoviedb.org/movie/914),🎉055,🌟83.00,1940
[日落大道 / Sunset Boulevard](https://www.themoviedb.org/movie/599),🎉056,🌟83.37,1950
[新世纪福音战士剧场版：Air&真心为你 / Neon Genesis Evangelion: The End of Evangelion](https://www.themoviedb.org/movie/18491),🎉057,🌟83.35,2019
[天国与地狱 / High and Low](https://www.themoviedb.org/movie/12493),🎉058,🌟83.00,1963
[紫罗兰永恒花园 剧场版 / Violet Evergarden: The Movie](https://www.themoviedb.org/movie/533514),🎉059,🌟83.00,2021
[单向乐队：这就是我们 / One Direction: This Is Us](https://www.themoviedb.org/movie/164558),🎉060,🌟83.22,2013
[这个杀手不太冷 / Léon: The Professional](https://www.themoviedb.org/movie/101),🎉061,🌟83.16,1994
[死亡诗社 / Dead Poets Society](https://www.themoviedb.org/movie/207),🎉062,🌟83.13,1989
[回到未来 / Back to the Future](https://www.themoviedb.org/movie/105),🎉063,🌟83.13,1985
[城市之光 / City Lights](https://www.themoviedb.org/movie/901),🎉064,🌟83.07,1931
[自己去看 / Come and See](https://www.themoviedb.org/movie/25237),🎉065,🌟83.06,1985
[洞 / Le Trou](https://www.themoviedb.org/movie/29259),🎉066,🌟83.00,1964
[摩登时代 / Modern Times](https://www.themoviedb.org/movie/3082),🎉067,🌟82.95,1936
[西部往事 / Once Upon a Time in the West](https://www.themoviedb.org/movie/335),🎉068,🌟82.93,1969
[云上情歌 / Clouds](https://www.themoviedb.org/movie/630566),🎉069,🌟82.92,2020
[一年中的生活 / Life in a Year](https://www.themoviedb.org/movie/447362),🎉070,🌟82.92,2020
[新·福音战士剧场版：终 / Evangelion: 3.0+1.0 Thrice Upon a Time](https://www.themoviedb.org/movie/283566),🎉071,🌟83.00,2023
[未麻的部屋 / Perfect Blue](https://www.themoviedb.org/movie/10494),🎉072,🌟82.91,1999
[现代启示录 / Apocalypse Now](https://www.themoviedb.org/movie/28),🎉073,🌟82.85,2001
[五尺天涯 / Five Feet Apart](https://www.themoviedb.org/movie/527641),🎉074,🌟82.84,2019
[光荣之路 / Paths of Glory](https://www.themoviedb.org/movie/975),🎉075,🌟82.80,1957
[砂之女 / Woman in the Dunes](https://www.themoviedb.org/movie/16672),🎉076,🌟83.00,1964
[被赠予的未来 剧场版 / Given](https://www.themoviedb.org/movie/632632),🎉077,🌟83.00,2020
[触不可及 / The Intouchables](https://www.themoviedb.org/movie/77338),🎉078,🌟82.77,2011
[老男孩 / Oldboy](https://www.themoviedb.org/movie/670),🎉079,🌟82.75,2005
[街角的商店 / The Shop Around the Corner](https://www.themoviedb.org/movie/20334),🎉080,🌟82.74,1940
[海上钢琴师 / The Legend of 1900](https://www.themoviedb.org/movie/10376),🎉081,🌟82.65,1998
[我想吃掉你的胰脏 / I Want to Eat Your Pancreas](https://www.themoviedb.org/movie/504253),🎉082,🌟82.67,2019
[穿靴子的猫2 / Puss in Boots: The Last Wish](https://www.themoviedb.org/movie/315162),🎉083,🌟83.00,2022
[复仇者联盟4：终局之战 / Avengers: Endgame](https://www.themoviedb.org/movie/299534),🎉084,🌟82.63,2019
[生活多美好 / It's a Wonderful Life](https://www.themoviedb.org/movie/1585),🎉085,🌟82.62,1947
[鬼灭之刃剧场版：无限列车篇 / Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train](https://www.themoviedb.org/movie/635302),🎉086,🌟82.61,2021
[黑暗正义联盟：天启星战争 / Justice League Dark: Apokolips War](https://www.themoviedb.org/movie/618344),🎉087,🌟82.60,2020
[Top Gun: Maverick / Top Gun: Maverick](https://www.themoviedb.org/movie/361743),🎉088,🌟82.57,2022
[狮子王 / The Lion King](https://www.themoviedb.org/movie/8587),🎉089,🌟82.55,1994
[复仇者联盟3：无限战争 / Avengers: Infinity War](https://www.themoviedb.org/movie/299536),🎉090,🌟82.54,2018
[妈咪 / Mommy](https://www.themoviedb.org/movie/265177),🎉091,🌟82.51,2015
[奥本海默 / Oppenheimer](https://www.themoviedb.org/movie/872585),🎉092,🌟82.00,2023
[宇宙小子大电影 / Steven Universe: The Movie](https://www.themoviedb.org/movie/537061),🎉093,🌟82.50,2019
[天地玄黄 / Baraka](https://www.themoviedb.org/movie/14002),🎉094,🌟82.50,1993
[克劳斯：圣诞节的秘密 / Klaus](https://www.themoviedb.org/movie/508965),🎉095,🌟82.48,2019
[小姐 / The Handmaiden](https://www.themoviedb.org/movie/290098),🎉096,🌟82.47,2016
[绿皮书 / Green Book](https://www.themoviedb.org/movie/490132),🎉097,🌟82.42,2018
[BLACKPINK：照亮天空 / BLACKPINK: Light Up the Sky](https://www.themoviedb.org/movie/740996),🎉098,🌟82.40,2020
[狼行者 / Wolfwalkers](https://www.themoviedb.org/movie/441130),🎉099,🌟82.38,2020
[青春猪头少年不会梦到怀梦美少女 / Rascal Does Not Dream of a Dreaming Girl](https://www.themoviedb.org/movie/572154),🎉100,🌟82.00,2019
[狼的孩子雨和雪 / Wolf Children](https://www.themoviedb.org/movie/110420),🎉101,🌟82.36,2013
[安逸人生 / Il Sorpasso](https://www.themoviedb.org/movie/24188),🎉102,🌟82.34,1990
[假面 / Persona](https://www.themoviedb.org/movie/797),🎉103,🌟82.00,1967
[桃色公寓 / The Apartment](https://www.themoviedb.org/movie/284),🎉104,🌟82.26,1960
[寻梦环游记 / Coco](https://www.themoviedb.org/movie/354912),🎉105,🌟82.22,2017
[朝花夕誓：于离别之朝束起约定之花 / Maquia: When the Promised Flower Blooms](https://www.themoviedb.org/movie/476292),🎉106,🌟82.00,2018
[控方证人 / Witness for the Prosecution](https://www.themoviedb.org/movie/37257),🎉107,🌟82.21,1957
[闪灵 / The Shining](https://www.themoviedb.org/movie/694),🎉108,🌟82.00,1980
[防弹少年团世界巡回演唱会：在首尔爱自己 / BTS World Tour: Love Yourself in Seoul](https://www.themoviedb.org/movie/568300),🎉109,🌟82.19,2019
[紫罗兰永恒花园外传：永远与自动手记人偶 / Violet Evergarden: Eternity and the Auto Memory Doll](https://www.themoviedb.org/movie/610892),🎉110,🌟82.16,2020
[无耻混蛋 / Inglourious Basterds](https://www.themoviedb.org/movie/16869),🎉111,🌟82.15,2009
[汉密尔顿 / Hamilton](https://www.themoviedb.org/movie/556574),🎉112,🌟82.00,2020
[偷自行车的人 / Bicycle Thieves](https://www.themoviedb.org/movie/5156),🎉113,🌟82.13,1999
[发条橙 / A Clockwork Orange](https://www.themoviedb.org/movie/185),🎉114,🌟82.13,1971
[角斗士 / Gladiator](https://www.themoviedb.org/movie/98),🎉115,🌟82.10,2000
[拯救大兵瑞恩 / Saving Private Ryan](https://www.themoviedb.org/movie/857),🎉116,🌟82.09,1998
[黑客帝国 / The Matrix](https://www.themoviedb.org/movie/603),🎉117,🌟82.07,1999
[致命魔术 / The Prestige](https://www.themoviedb.org/movie/1124),🎉118,🌟82.04,2006
[星球大战1：新希望 / Star Wars](https://www.themoviedb.org/movie/11),🎉119,🌟82.04,1981
[我在雨中等你 / The Art of Racing in the Rain](https://www.themoviedb.org/movie/522924),🎉120,🌟82.02,2019
[相助 / The Help](https://www.themoviedb.org/movie/50014),🎉121,🌟82.02,2011
[禁闭岛 / Shutter Island](https://www.themoviedb.org/movie/11324),🎉122,🌟82.00,2010
[东京物语 / Tokyo Story](https://www.themoviedb.org/movie/18148),🎉123,🌟81.99,1972
[第七封印 / The Seventh Seal](https://www.themoviedb.org/movie/490),🎉124,🌟82.00,1958
[血战钢锯岭 / Hacksaw Ridge](https://www.themoviedb.org/movie/324786),🎉125,🌟81.95,2016
[非常嫌疑犯 / The Usual Suspects](https://www.themoviedb.org/movie/629),🎉126,🌟82.00,1995
[寻子遇仙记 / The Kid](https://www.themoviedb.org/movie/10098),🎉127,🌟81.94,1921
[热辣奇多的诞生 / Flamin' Hot](https://www.themoviedb.org/movie/626332),🎉128,🌟81.90,2023
[对一个不容怀疑的公民的调查 / Investigation of a Citizen Above Suspicion](https://www.themoviedb.org/movie/26451),🎉129,🌟81.90,1970
[记忆碎片 / Memento](https://www.themoviedb.org/movie/77),🎉130,🌟81.88,2001
[扎克·施奈德版正义联盟 / Zack Snyder's Justice League](https://www.themoviedb.org/movie/791373),🎉131,🌟81.87,2021
[少年的你 / Better Days](https://www.themoviedb.org/movie/575813),🎉132,🌟81.86,2019
[我的英雄学院：英雄崛起 / My Hero Academia: Heroes Rising](https://www.themoviedb.org/movie/592350),🎉133,🌟81.83,2020
[咒术回战 0 / Jujutsu Kaisen 0](https://www.themoviedb.org/movie/810693),🎉134,🌟81.82,2022
[婚姻生活 / Scenes from a Marriage](https://www.themoviedb.org/movie/133919),🎉135,🌟81.82,1974
[吉尔莫·德尔·托罗的匹诺曹 / Guillermo del Toro's Pinocchio](https://www.themoviedb.org/movie/555604),🎉136,🌟81.81,2022
[潜行者 / Stalker](https://www.themoviedb.org/movie/1398),🎉137,🌟82.00,2017
[何以为家 / Capernaum](https://www.themoviedb.org/movie/517814),🎉138,🌟81.77,2018
"[星条红与皇室蓝 / Red, White & Royal Blue](https://www.themoviedb.org/movie/930094)",🎉139,🌟81.79,2023
[迷魂记 / Vertigo](https://www.themoviedb.org/movie/426),🎉140,🌟81.76,1958
[燃烧女子的肖像 / Portrait of a Lady on Fire](https://www.themoviedb.org/movie/531428),🎉141,🌟81.75,2019
[多哥 / Togo](https://www.themoviedb.org/movie/606856),🎉142,🌟81.74,2019
[被解救的姜戈 / Django Unchained](https://www.themoviedb.org/movie/68718),🎉143,🌟81.72,2012
"[瓢虫少女 / Miraculous World: New York, United HeroeZ](https://www.themoviedb.org/movie/755812)",🎉144,🌟81.71,2020
[雨中曲 / Singin' in the Rain](https://www.themoviedb.org/movie/872),🎉145,🌟81.69,1952
[卡萨布兰卡 / Casablanca](https://www.themoviedb.org/movie/289),🎉146,🌟81.69,1943
[无间道风云 / The Departed](https://www.themoviedb.org/movie/1422),🎉147,🌟81.68,2006
