Title 电影,Rank 排名,Score 打分,Year 年份
[请以你的名字呼唤我 / Call Me by Your Name](https://www.themoviedb.org/movie/398818),🎉148,🌟81.67,2017
[小丑 / Joker](https://www.themoviedb.org/movie/475557),🎉149,🌟81.66,2019
[疤面煞星 / Scarface](https://www.themoviedb.org/movie/111),🎉150,🌟81.66,1983
[八部半 / 8½](https://www.themoviedb.org/movie/422),🎉151,🌟81.65,1963
[鹬 / Piper](https://www.themoviedb.org/movie/399106),🎉152,🌟81.64,2016
[你给的仇恨 / The Hate U Give](https://www.themoviedb.org/movie/470044),🎉153,🌟81.60,2018
[与神同行2：因与缘 / Along with the Gods: The Last 49 Days](https://www.themoviedb.org/movie/518068),🎉154,🌟82.00,2018
[迈克尔·杰克逊：颤栗 / Michael Jackson's Thriller](https://www.themoviedb.org/movie/92060),🎉155,🌟81.57,1983
[归家：碧昂斯电影作品 / Homecoming: A Film by Beyoncé](https://www.themoviedb.org/movie/593691),🎉156,🌟82.00,2019
[帕尔默 / Palmer](https://www.themoviedb.org/movie/458220),🎉157,🌟81.55,2021
[出租车司机 / Taxi Driver](https://www.themoviedb.org/movie/103),🎉158,🌟82.00,1976
[紫心之恋 / Purple Hearts](https://www.themoviedb.org/movie/762975),🎉159,🌟81.54,2022
[大都会 / Metropolis](https://www.themoviedb.org/movie/19),🎉160,🌟81.53,2010
[奇迹男孩 / Wonder](https://www.themoviedb.org/movie/406997),🎉161,🌟81.52,2017
[困在时间里的父亲 / The Father](https://www.themoviedb.org/movie/600354),🎉162,🌟81.51,2021
[我的朋友们 / My Friends](https://www.themoviedb.org/movie/20914),🎉163,🌟81.50,1976
[真人快打传奇：蝎子的复仇 / Mortal Kombat Legends: Scorpion's Revenge](https://www.themoviedb.org/movie/664767),🎉164,🌟81.49,2020
[异形 / Alien](https://www.themoviedb.org/movie/348),🎉165,🌟81.49,1979
[相信我：被诱拐的丽莎·麦克维 / Believe Me: The Abduction of Lisa McVey](https://www.themoviedb.org/movie/550776),🎉166,🌟81.48,2018
[心灵奇旅 / Soul](https://www.themoviedb.org/movie/508442),🎉167,🌟81.48,2020
[心灵捕手 / Good Will Hunting](https://www.themoviedb.org/movie/489),🎉168,🌟81.48,1997
[山椒大夫 / Sansho the Bailiff](https://www.themoviedb.org/movie/20532),🎉169,🌟81.00,1955
[博·伯纳姆：隔离在家 / Bo Burnham: Inside](https://www.themoviedb.org/movie/823754),🎉170,🌟81.38,2021
[为美好的世界献上祝福！红传说 / KONOSUBA – God's blessing on this wonderful world! Legend of Crimson](https://www.themoviedb.org/movie/532067),🎉171,🌟81.00,2019
[中央车站 / Central Station](https://www.themoviedb.org/movie/666),🎉172,🌟81.36,1998
[全金属外壳 / Full Metal Jacket](https://www.themoviedb.org/movie/600),🎉173,🌟81.36,1987
[无知的声音 / Innocent Voices](https://www.themoviedb.org/movie/20941),🎉174,🌟81.35,2005
[楚门的世界 / The Truman Show](https://www.themoviedb.org/movie/37165),🎉175,🌟81.34,1998
[野草莓 / Wild Strawberries](https://www.themoviedb.org/movie/614),🎉176,🌟81.34,1957
[甜蜜的生活 / La Dolce Vita](https://www.themoviedb.org/movie/439),🎉177,🌟81.00,1961
[落水狗 / Reservoir Dogs](https://www.themoviedb.org/movie/500),🎉178,🌟81.31,1992
[奇爱博士 / Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb](https://www.themoviedb.org/movie/935),🎉179,🌟81.30,1964
[双重赔偿 / Double Indemnity](https://www.themoviedb.org/movie/996),🎉180,🌟81.28,1944
[彗星美人 / All About Eve](https://www.themoviedb.org/movie/705),🎉181,🌟81.27,1950
"[两杆大烟枪 / Lock, Stock and Two Smoking Barrels](https://www.themoviedb.org/movie/100)",🎉182,🌟81.27,1999
[罗生门 / Rashomon](https://www.themoviedb.org/movie/548),🎉183,🌟81.24,1950
[天堂的孩子 / Children of Paradise](https://www.themoviedb.org/movie/2457),🎉184,🌟81.22,1946
[看不见的客人 / The Invisible Guest](https://www.themoviedb.org/movie/411088),🎉185,🌟81.00,2016
[用心棒 / Yojimbo](https://www.themoviedb.org/movie/11878),🎉186,🌟81.20,1961
"[爱莉安娜·格兰德：嗨，我爱你 / ariana grande: excuse me, i love you](https://www.themoviedb.org/movie/774372)",🎉187,🌟81.18,2020
[黑帮悍将 / Bound by Honor](https://www.themoviedb.org/movie/9702),🎉188,🌟81.15,1993
[一封关于父亲的信 / Dear Zachary: A Letter to a Son About His Father](https://www.themoviedb.org/movie/15584),🎉189,🌟81.13,2008
[永远的车神 / Senna](https://www.themoviedb.org/movie/58496),🎉190,🌟81.11,2011
[热情如火 / Some Like It Hot](https://www.themoviedb.org/movie/239),🎉191,🌟81.09,1959
[辉夜姬物语 / The Tale of The Princess Kaguya](https://www.themoviedb.org/movie/149871),🎉192,🌟81.08,2014
[地球之盐 / The Salt of the Earth](https://www.themoviedb.org/movie/265297),🎉193,🌟81.07,2014
[狩猎 / The Hunt](https://www.themoviedb.org/movie/103663),🎉194,🌟81.05,2013
[哈利波特与死亡圣器（下） / Harry Potter and the Deathly Hallows: Part 2](https://www.themoviedb.org/movie/12445),🎉195,🌟81.05,2011
[花样年华 / In the Mood for Love](https://www.themoviedb.org/movie/843),🎉196,🌟81.05,2001
[终结者2：审判日 / Terminator 2: Judgment Day](https://www.themoviedb.org/movie/280),🎉197,🌟81.05,1991
[与神同行：罪与罚 / Along with the Gods: The Two Worlds](https://www.themoviedb.org/movie/397567),🎉198,🌟81.02,2017
[暖暖内含光 / Eternal Sunshine of the Spotless Mind](https://www.themoviedb.org/movie/38),🎉199,🌟81.01,2004
[焦土之城 / Incendies](https://www.themoviedb.org/movie/46738),🎉200,🌟81.00,2010
[福尔摩斯二世 / Sherlock Jr.](https://www.themoviedb.org/movie/992),🎉201,🌟81.00,1924
[M就是凶手 / M](https://www.themoviedb.org/movie/832),🎉202,🌟80.95,1933
"[德州巴黎 / Paris, Texas](https://www.themoviedb.org/movie/655)",🎉203,🌟80.95,1984
[囚徒 / Prisoners](https://www.themoviedb.org/movie/146233),🎉204,🌟80.92,2013
[驯龙高手：归家 / How to Train Your Dragon: Homecoming](https://www.themoviedb.org/movie/638507),🎉205,🌟80.90,2019
[艾拉：战争之女 / Ayla: The Daughter of War](https://www.themoviedb.org/movie/472454),🎉206,🌟80.89,2019
[怒火青春 / La Haine](https://www.themoviedb.org/movie/406),🎉207,🌟80.88,1996
[GT赛车：极速狂飙 / Gran Turismo](https://www.themoviedb.org/movie/980489),🎉208,🌟80.81,2023
[血色将至 / There Will Be Blood](https://www.themoviedb.org/movie/7345),🎉209,🌟80.86,2007
[安德烈·卢布廖夫 / Andrei Rublev](https://www.themoviedb.org/movie/895),🎉210,🌟80.85,1973
[雄狮 / Lion](https://www.themoviedb.org/movie/334543),🎉211,🌟80.84,2016
[傲慢与偏见 / Pride & Prejudice](https://www.themoviedb.org/movie/4348),🎉212,🌟80.84,2005
[我的过错 / My Fault](https://www.themoviedb.org/movie/1010581),🎉213,🌟80.82,2023
[博·伯瀚：制造快乐 / Bo Burnham: Make Happy](https://www.themoviedb.org/movie/400608),🎉214,🌟80.82,2016
[从海底出击 / Das Boot](https://www.themoviedb.org/movie/387),🎉215,🌟80.82,1982
"[三块广告牌 / Three Billboards Outside Ebbing, Missouri](https://www.themoviedb.org/movie/359940)",🎉216,🌟80.81,2017
[机器人总动员 / WALL·E](https://www.themoviedb.org/movie/10681),🎉217,🌟80.79,2008
[家门之外 / Far from the Tree](https://www.themoviedb.org/movie/831827),🎉218,🌟80.77,2021
[2001太空漫游 / 2001: A Space Odyssey](https://www.themoviedb.org/movie/62),🎉219,🌟80.77,1968
[自由之声 / Sound of Freedom](https://www.themoviedb.org/movie/678512),🎉220,🌟81.00,2023
[红胡子 / Red Beard](https://www.themoviedb.org/movie/3780),🎉221,🌟80.76,1966
[乱 / Ran](https://www.themoviedb.org/movie/11645),🎉222,🌟80.75,1985
[天佑鲍比 / Prayers for Bobby](https://www.themoviedb.org/movie/21634),🎉223,🌟81.00,2009
[洛可兄弟 / Rocco and His Brothers](https://www.themoviedb.org/movie/8422),🎉224,🌟81.00,1961
[龙猫 / My Neighbor Totoro](https://www.themoviedb.org/movie/8392),🎉225,🌟80.72,1993
[新神榜：哪吒重生 / New Gods: Nezha Reborn](https://www.themoviedb.org/movie/663558),🎉226,🌟80.70,2021
[如纸人生 / Paper Lives](https://www.themoviedb.org/movie/785534),🎉227,🌟80.68,2021
[特殊的一天 / A Special Day](https://www.themoviedb.org/movie/42229),🎉228,🌟81.00,1977
[轮回 / Samsara](https://www.themoviedb.org/movie/89708),🎉229,🌟80.66,2012
[杀人回忆 / Memories of Murder](https://www.themoviedb.org/movie/11423),🎉230,🌟80.65,2005
[被遗忘的人们 / The Young and the Damned](https://www.themoviedb.org/movie/800),🎉231,🌟81.00,1952
[四百击 / The 400 Blows](https://www.themoviedb.org/movie/147),🎉232,🌟80.59,1959
[隐藏人物 / Hidden Figures](https://www.themoviedb.org/movie/381284),🎉233,🌟80.58,2016
[精英部队 / Elite Squad](https://www.themoviedb.org/movie/7347),🎉234,🌟80.56,2008
[纽伦堡大审判 / Judgment at Nuremberg](https://www.themoviedb.org/movie/821),🎉235,🌟80.55,1961
[切肤之痛 / On My Skin](https://www.themoviedb.org/movie/538362),🎉236,🌟80.53,2018
[黑白魔女库伊拉 / Cruella](https://www.themoviedb.org/movie/337404),🎉237,🌟80.53,2021
[我的名字叫可汗 / My Name Is Khan](https://www.themoviedb.org/movie/26022),🎉238,🌟80.53,2010
[灿烂人生 / The Best of Youth](https://www.themoviedb.org/movie/11659),🎉239,🌟81.00,2005
[布达佩斯大饭店 / The Grand Budapest Hotel](https://www.themoviedb.org/movie/120467),🎉240,🌟80.51,2014
[象人 / The Elephant Man](https://www.themoviedb.org/movie/1955),🎉241,🌟80.50,1980
[怪形 / The Thing](https://www.themoviedb.org/movie/1091),🎉242,🌟80.49,1982
[黑神驹 / Black Beauty](https://www.themoviedb.org/movie/526702),🎉243,🌟80.00,2020
[巴黎在燃烧 / Paris Is Burning](https://www.themoviedb.org/movie/31225),🎉244,🌟80.47,1991
[天才少女 / Gifted](https://www.themoviedb.org/movie/400928),🎉245,🌟80.43,2017
[乔乔的异想世界 / Jojo Rabbit](https://www.themoviedb.org/movie/515001),🎉246,🌟80.42,2019
[一条狗的使命2 / A Dog's Journey](https://www.themoviedb.org/movie/522518),🎉247,🌟80.00,2019
"[爱你，西蒙 / Love, Simon](https://www.themoviedb.org/movie/449176)",🎉248,🌟80.41,2018
[第二个妈妈 / The Second Mother](https://www.themoviedb.org/movie/310569),🎉249,🌟80.41,2015
[窃听风暴 / The Lives of Others](https://www.themoviedb.org/movie/582),🎉250,🌟80.36,2006
[莫扎特传 / Amadeus](https://www.themoviedb.org/movie/279),🎉251,🌟80.36,1984
[华尔街之狼 / The Wolf of Wall Street](https://www.themoviedb.org/movie/106646),🎉252,🌟80.00,2013
[圣女贞德蒙难记 / The Passion of Joan of Arc](https://www.themoviedb.org/movie/780),🎉253,🌟80.36,1929
[大地之歌 / Pather Panchali](https://www.themoviedb.org/movie/5801),🎉254,🌟80.00,1955
[房间 / Room](https://www.themoviedb.org/movie/264644),🎉255,🌟80.32,2015
[至爱梵高·星空之谜 / Loving Vincent](https://www.themoviedb.org/movie/339877),🎉256,🌟80.25,2017
[淘金记 / The Gold Rush](https://www.themoviedb.org/movie/962),🎉257,🌟80.25,1925
[梦之安魂曲 / Requiem for a Dream](https://www.themoviedb.org/movie/641),🎉258,🌟80.25,2000
[恐惧的代价 / The Wages of Fear](https://www.themoviedb.org/movie/204),🎉259,🌟80.00,1955
[猫狗共患难 / Kitbull](https://www.themoviedb.org/movie/574074),🎉260,🌟80.22,2019
[骗中骗 / The Sting](https://www.themoviedb.org/movie/9277),🎉261,🌟80.21,1973
[哈利波特与阿兹卡班的囚徒 / Harry Potter and the Prisoner of Azkaban](https://www.themoviedb.org/movie/673),🎉262,🌟80.21,2004
[美国丽人 / American Beauty](https://www.themoviedb.org/movie/14),🎉263,🌟80.21,1999
[德尔苏·乌扎拉 / Dersu Uzala](https://www.themoviedb.org/movie/9764),🎉264,🌟80.19,1977
[黄昏双镖客 / For a Few Dollars More](https://www.themoviedb.org/movie/938),🎉265,🌟80.18,1967
[电话谋杀案 / Dial M for Murder](https://www.themoviedb.org/movie/521),🎉266,🌟80.18,1954
[银河护卫队3 / Guardians of the Galaxy Vol. 3](https://www.themoviedb.org/movie/447365),🎉267,🌟80.18,2023
"[罗马，不设防的城市 / Rome, Open City](https://www.themoviedb.org/movie/307)",🎉268,🌟80.17,1946
[公民凯恩 / Citizen Kane](https://www.themoviedb.org/movie/15),🎉269,🌟80.17,1941
[与我为邻 / Won't You Be My Neighbor?](https://www.themoviedb.org/movie/490003),🎉270,🌟80.15,2018
[小人物 / Nobody](https://www.themoviedb.org/movie/615457),🎉271,🌟80.14,2021
[天气之子 / Weathering with You](https://www.themoviedb.org/movie/568160),🎉272,🌟80.14,2020
[海洋之歌 / Song of the Sea](https://www.themoviedb.org/movie/110416),🎉273,🌟80.16,2014
[镜子 / Mirror](https://www.themoviedb.org/movie/1396),🎉274,🌟80.12,2014
[极速车王 / Ford v Ferrari](https://www.themoviedb.org/movie/359724),🎉275,🌟80.10,2019
[心跳瞬间 / In a Heartbeat](https://www.themoviedb.org/movie/455661),🎉276,🌟80.09,2017
[赌城风云 / Casino](https://www.themoviedb.org/movie/524),🎉277,🌟80.09,1995
[忠犬八公的故事 / Hachi: A Dog's Tale](https://www.themoviedb.org/movie/28178),🎉278,🌟80.00,2009
[巴里·林登 / Barry Lyndon](https://www.themoviedb.org/movie/3175),🎉279,🌟80.08,1975
[模仿游戏 / The Imitation Game](https://www.themoviedb.org/movie/205596),🎉280,🌟80.07,2014
[卡比利亚之夜 / Nights of Cabiria](https://www.themoviedb.org/movie/19426),🎉281,🌟80.07,1957
[马戏团 / The Circus](https://www.themoviedb.org/movie/28978),🎉282,🌟80.04,1928
[杀死一只知更鸟 / To Kill a Mockingbird](https://www.themoviedb.org/movie/595),🎉283,🌟80.04,1962
[秋日奏鸣曲 / Autumn Sonata](https://www.themoviedb.org/movie/12761),🎉284,🌟80.00,1978
[爱的曝光 / Love Exposure](https://www.themoviedb.org/movie/28422),🎉285,🌟80.01,2011
[猎鹿人 / The Deer Hunter](https://www.themoviedb.org/movie/11778),🎉286,🌟80.01,1978
[重庆森林 / Chungking Express](https://www.themoviedb.org/movie/11104),🎉287,🌟80.00,1996
[晚春 / Late Spring](https://www.themoviedb.org/movie/20530),🎉288,🌟80.00,1972
[怪物之子 / The Boy and the Beast](https://www.themoviedb.org/movie/315465),🎉289,🌟79.99,2016
[纸人 / Paperman](https://www.themoviedb.org/movie/140420),🎉290,🌟79.99,2012
[波西米亚狂想曲 / Bohemian Rhapsody](https://www.themoviedb.org/movie/424694),🎉291,🌟79.96,2018
[在这世界的角落 / In This Corner of the World](https://www.themoviedb.org/movie/378108),🎉292,🌟79.95,2017
[老爷车 / Gran Torino](https://www.themoviedb.org/movie/13223),🎉293,🌟79.94,2008
[金氏漂流记 / Castaway on the Moon](https://www.themoviedb.org/movie/18438),🎉294,🌟79.92,2010
[1917 / 1917](https://www.themoviedb.org/movie/530915),🎉295,🌟79.91,2019
[三傻大闹宝莱坞 / 3 Idiots](https://www.themoviedb.org/movie/20453),🎉296,🌟79.90,2009
[Spider-Man: No Way Home / Spider-Man: No Way Home](https://www.themoviedb.org/movie/634649),🎉297,🌟79.88,2021
[谜一样的双眼 / The Secret in Their Eyes](https://www.themoviedb.org/movie/25376),🎉298,🌟79.89,2010
[西北偏北 / North by Northwest](https://www.themoviedb.org/movie/213),🎉299,🌟79.87,1959
[学校整蛊联盟2 / No Manches Frida 2](https://www.themoviedb.org/movie/554596),🎉300,🌟79.85,2019
