index,排名,日本-电影名,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区,（空白）,排名,外国-电影名,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区
62,55,楢山節考（木下恵介 / 《楢山节考》（木下惠介，1958））,楢山节考 楢山節考,1958,[1294737](https://movie.douban.com/subject/1294737/),8.7,木下惠介,剧情,日本, ,51,突然炎のごとく / フランソワ・トリュフォー,祖与占 Jules et Jim,1962,[1292338](https://movie.douban.com/subject/1292338/),8.4,弗朗索瓦·特吕弗,剧情 / 爱情,法国
63,55,野菊のごとき君なりき（木下恵介 / 《野菊之墓》（木下惠介，1955））,野菊之墓 野菊の如き君なりき,1955,[1308447](https://movie.douban.com/subject/1308447/),8.1,木下惠介,剧情 / 爱情,日本, ,51,薔薇の名前 / ジャン・ジャック・アノー,玫瑰之名 Der Name der Rose,1986,[1294634](https://movie.douban.com/subject/1294634/),7.8,让-雅克·阿诺,剧情 / 犯罪 / 悬疑,意大利/法国/西德
64,55,宮本武蔵　五部作（内田吐夢 / 《宫本武藏全五部》（内田吐梦，1961－65））,宫本武藏 宮本武蔵,1961,[1464352](https://movie.douban.com/subject/1464352/),7.2,内田吐梦,剧情 / 传记 / 动作,日本, ,51,ブリキの太鼓 / フォルカー・シュレンドルフ,铁皮鼓 Die Blechtrommel,1979,[1292207](https://movie.douban.com/subject/1292207/),8.3,沃尔克·施隆多夫,剧情 / 历史 / 战争,西德/波兰/法国/南斯拉夫
65,55,竜馬暗殺（黒木和雄 / 《龙马暗杀》（黑木和雄，1974））,暗杀坂本龙马 竜馬暗殺,1974,[1813144](https://movie.douban.com/subject/1813144/),7.6,黑木和雄,剧情 / 动作 / 历史,日本, ,51,フルメタル・ジャケット / スタンリー・キューブリック,全金属外壳 Full Metal Jacket,1987,[1300055](https://movie.douban.com/subject/1300055/),8.6,斯坦利·库布里克,剧情 / 战争,英国/美国
66,67,赤線地帯（溝口健二 / 《赤线地带》（谷口千吉，1953））,赤线基地 赤線基地,1953,[3404565](https://movie.douban.com/subject/3404565/), ,谷口千吉,剧情,日本, ,51,若者のすべて（未見） / ルキノ・ビスコンティ,洛可兄弟 Rocco e i suoi fratelli,1960,[1303558](https://movie.douban.com/subject/1303558/),8.4,卢基诺·维斯康蒂,犯罪 / 剧情,法国/意大利
67,67,赤ひげ（黒澤明 / 《红胡子》（黑泽明，1965））,红胡子 赤ひげ,1965,[1296679](https://movie.douban.com/subject/1296679/),8.8,黑泽明,剧情,日本, ,68,アパートの鍵貸します / ビリー・ワイルダー,桃色公寓 The Apartment,1960,[1394218](https://movie.douban.com/subject/1394218/),8.8,比利·怀尔德,爱情 / 喜剧 / 剧情,美国
68,67,駅・STATION（降旗康男 / 《车战》（降旗康男，1981））,车站 駅,1981,[1308363](https://movie.douban.com/subject/1308363/),7.9,降旗康男,剧情,日本, ,68,イル・ポスティーノ / マイケル・ラドフォード,邮差 Il postino,1994,[1298468](https://movie.douban.com/subject/1298468/),8.8,迈克尔·莱德福 / 马西莫·特洛伊西,传记 / 喜剧 / 剧情 / 爱情,意大利/法国/比利时
69,67,恋人たちは濡れた（神代辰巳 / 《恋人们之欲望》（神代辰巳，1973））,恋人濡湿 恋人たちは濡れた,1973,[1845647](https://movie.douban.com/subject/1845647/),6.3,神代辰巳,情色,日本, ,68,お熱いのがお好き / ビリー・ワイルダー,热情如火 Some Like It Hot,1959,[1292574](https://movie.douban.com/subject/1292574/),8.9,比利·怀尔德,喜剧,美国
70,67,サード（東陽一 / 《三垒手》（东阳一，1978））,三垒手 サード,1978,[1845728](https://movie.douban.com/subject/1845728/),7.8,东阳一,剧情,日本, ,68,女だけの都 / ジェック・フェデー,弗兰得狂欢节 La Kermesse héroïque,1935,[1797487](https://movie.douban.com/subject/1797487/),8.3,雅克·费代尔,喜剧 / 历史 / 爱情,法国/德国
71,67,細雪（市川崑 / 《细雪》（市川昆，1983））,细雪 細雪,1983,[1299777](https://movie.douban.com/subject/1299777/),8.1,市川昆,剧情 / 爱情,日本, ,68,黄色い大地 / チェン・カイコー,黄土地,1984,[1291876](https://movie.douban.com/subject/1291876/),8,陈凯歌,剧情 / 音乐,中国大陆
72,67,三里塚　辺田部落（小川紳介 / 《三里塚边田部落》（小川绅介，1973））,三里塚 边田部落 三里塚 辺田部落,1973,[1845753](https://movie.douban.com/subject/1845753/),8.8,小川绅介,纪录片,日本, ,68,木靴の樹 / エルマンノ・オルミ,木屐树 L'albero degli zoccoli,1978,[1306266](https://movie.douban.com/subject/1306266/),8.8,埃曼诺·奥尔米,剧情 / 历史,意大利
73,67,青春の蹉跌（神代辰巳 / 《青春之蹉跎》（神代辰巳，1974））,青春之蹉跎 青春の蹉跌,1974,[1307096](https://movie.douban.com/subject/1307096/),6.8,神代辰巳,爱情 / 情色,日本, ,68,グロリア / ジョン・カサヴェス,女煞葛洛莉 Gloria,1980,[1293439](https://movie.douban.com/subject/1293439/),7.6,约翰·卡萨维蒂,犯罪 / 剧情 / 惊悚,美国
74,67,日本の悲劇（木下恵介 / 《日本的悲剧》（木下惠介，1953））,日本的悲剧 日本の悲劇,1953,[1306483](https://movie.douban.com/subject/1306483/),7.9,木下惠介,剧情,日本, ,68,サイコ / アルフレッド・ヒッチコック,惊魂记 Psycho,1960,[1293181](https://movie.douban.com/subject/1293181/),9,阿尔弗雷德·希区柯克,悬疑 / 惊悚 / 恐怖,美国
75,67,の・ようなもの（森田芳光 / 《像那样的东西》（森田芳光，1981））,像那样的东西 の・ようなもの,1981,[1845757](https://movie.douban.com/subject/1845757/),8,森田芳光,喜剧,日本, ,68,情婦マノン / アンリ・ジョルジュ・クルーゾー,情妇玛侬 Manon,1949,[1297584](https://movie.douban.com/subject/1297584/),7.2,亨利-乔治·克鲁佐,剧情 / 犯罪,法国
76,67,裸の島（新藤兼人 / 《裸岛》（新藤兼人，1960））,裸岛 裸の島,1960,[1303710](https://movie.douban.com/subject/1303710/),8.5,新藤兼人,剧情,日本, ,68,スモーク / ウェイン・ワン,烟 Smoke,1995,[1301594](https://movie.douban.com/subject/1301594/),8.1,王颖,剧情 / 喜剧,德国/日本/美国
77,67,張り込み（野村芳太郎 / 《出张》（野村芳太郎，1957））,监视 張込み,1958,[1840429](https://movie.douban.com/subject/1840429/),7.6,野村芳太郎,剧情 / 犯罪 / 悬疑,日本, ,68,ディア・ハンター / マイケル・チミノ,猎鹿人 The Deer Hunter,1978,[1292403](https://movie.douban.com/subject/1292403/),8.3,迈克尔·西米诺,剧情 / 战争,美国
78,67,乱れ雲（成瀬巳喜男 / 《乱云》（成濑巳喜男，1967））,乱云 乱れ雲,1967,[1302082](https://movie.douban.com/subject/1302082/),8.4,成濑巳喜男,剧情,日本, ,68,トゥルー・ロマンス / トニー・スコット,真实罗曼史 True Romance,1993,[1295324](https://movie.douban.com/subject/1295324/),8,托尼·斯科特,犯罪 / 爱情 / 惊悚,美国/法国
79,67,約束（斎藤耕一 / 《约会》（齐藤耕一，1972））,约定 約束,1972,[1302284](https://movie.douban.com/subject/1302284/),7.6,斋藤耕一,剧情,日本, ,68,隣の女（未見） / フランソワ・トリュフォー,隔墙花 La femme d'à côté,1981,[1296563](https://movie.douban.com/subject/1296563/),7.1,弗朗索瓦·特吕弗,剧情 / 爱情,法国
80,67,野獣の死すべし（村川透 / 《野兽之死》（村川透，1980））,野兽之死 野獣死すべし,1980,[1959218](https://movie.douban.com/subject/1959218/),7.7,村川透,剧情 / 犯罪 / 动作,日本, ,68,ナッシュビル（未見） / ロバート・アルトマン,纳什维尔 Nashville,1975,[1293037](https://movie.douban.com/subject/1293037/),8.2,罗伯特·奥特曼,剧情 / 喜剧 / 音乐,美国
81,82,愛のコリーダ（大島渚 / 《感官世界》（大岛渚，1976））,感官世界 愛のコリーダ,1976,[1292790](https://movie.douban.com/subject/1292790/),6.9,大岛渚, ,法国 / 日本, ,68,八月の鯨 / リンゼイ・アンダーソン,八月的鲸鱼 The Whales of August,1987,[1308663](https://movie.douban.com/subject/1308663/),8.3,林赛·安德森,剧情,美国
82,82,赤ちょうちん（藤田敏八 / 《赤提灯》（藤田敏八，1974））,赤提灯 赤ちょうちん,1974,[1851922](https://movie.douban.com/subject/1851922/),6.9,藤田敏八,剧情 / 爱情,日本, ,68,パリ、テキサス / ヴィム・ヴェンダース,"德州巴黎 Paris, Texas",1984,[1302061](https://movie.douban.com/subject/1302061/),8.5,维姆·文德斯,剧情,西德/法国/英国/美国
83,82,赤西蠣太（伊丹万作 / 《赤西蛎太》（伊丹万作，1936））,赤西蛎太 赤西蠣太,1936,[1401332](https://movie.douban.com/subject/1401332/),7.7,伊丹万作,喜剧 / 历史 / 古装,日本, ,68,フィッツカラルド / ヴェルナー・ヘルツォーク,陆上行舟 Fitzcarraldo,1982,[1297105](https://movie.douban.com/subject/1297105/),8.7,沃纳·赫尔佐格,剧情 / 冒险,西德/秘鲁
84,82,悪魔の手鞠唄（市川崑 / 《球谣魔影》（市川昆，1977））,恶魔拍球之歌 悪魔の手毬唄,1977,[1493738](https://movie.douban.com/subject/1493738/),7.7,市川昆,悬疑,日本, ,68,ブレードランナー / リドリー・スコット,银翼杀手 Blade Runner,1982,[1291839](https://movie.douban.com/subject/1291839/),8.6,雷德利·斯科特,科幻 / 惊悚,美国
85,82,稲妻（成瀬巳喜男 / 《稻妻》（成濑巳喜男，1952））,稻妻 稲妻,1952,[1404702](https://movie.douban.com/subject/1404702/),8.2,成濑巳喜男,剧情,日本, ,68,ベニスに死す / ルキノ・ヴィスコンティ,魂断威尼斯 Morte a Venezia,1971,[1300912](https://movie.douban.com/subject/1300912/),8.2,卢基诺·维斯康蒂,剧情 / 同性,意大利/法国
86,82,鴛鴦歌合戦（マキノ正博 / 《鸳鸯歌合战》（牧野雅弘，1939））,鸳鸯歌合战 鴛鴦歌合戦,1939,[1845786](https://movie.douban.com/subject/1845786/),7.9,牧野雅弘,喜剧 / 歌舞,日本, ,68,冒険者たち / ロベール・アンリコ,冒险者 Les aventuriers,1967,[1305845](https://movie.douban.com/subject/1305845/),7.1,罗贝尔·恩里科,冒险 / 剧情,法国/意大利
87,82,お葬式（伊丹十三 / 《葬礼》（伊丹十三，1984））,葬礼 お葬式,1984,[1293745](https://movie.douban.com/subject/1293745/),8.3,伊丹十三,喜剧,日本, ,68,街の灯 / チャールズ・チャップリン,城市之光 City Lights,1931,[1293908](https://movie.douban.com/subject/1293908/),9.3,查理·卓别林,喜剧 / 剧情 / 爱情,美国
88,82,影武者（黒澤明 / 《影武者》（黑泽明，1980））,影武者,1980,[1303067](https://movie.douban.com/subject/1303067/),9.1,黑泽明,剧情 / 历史 / 战争,日本/美国, ,68,ミッドナイト・エクスプレス / アラン・パーカー,午夜快车 Midnight Express,1978,[1296827](https://movie.douban.com/subject/1296827/),7.6,艾伦·帕克,传记 / 犯罪 / 剧情 / 惊悚,英国/美国
89,82,火宅の人（深作欣二 / 《火宅之人》（深作欣二，1986））,火宅之人 火宅の人,1986,[1394515](https://movie.douban.com/subject/1394515/),8,深作欣二,剧情,日本, ,68,燃えよドラゴン / ロバート・クローズ,龙争虎斗 Enter the Dragon,1973,[1293118](https://movie.douban.com/subject/1293118/),8.3,罗伯特·高洛斯,动作 / 犯罪,美国/中国香港
90,82,カルメン故郷に帰る（木下恵介 / 《卡门还乡》（木下惠介，1951））,纯情的卡门 カルメン純情す,1952,[1401921](https://movie.douban.com/subject/1401921/),7.1,木下惠介,喜剧,日本, ,68,ラスト・タンゴ・イン・パリ / ベルナルド・ベルトリッチ,巴黎最后的探戈 Ultimo tango a Parigi,1972,[1300353](https://movie.douban.com/subject/1300353/),7.1,贝纳尔多·贝托鲁奇,剧情 / 爱情 / 情色,意大利/法国
91,82,きけわだつみの声（関川秀雄 / 《听吧，禾田序之声》（关川秀雄，1950））,战争的声音 日本戦歿学生の手記 きけ、わだつみの声,1950,[5066175](https://movie.douban.com/subject/5066175/),7.3,关川秀雄,战争,日本, ,68,旅情 / デビッド・リーン,夏日时光 Summertime,1955,[1293491](https://movie.douban.com/subject/1293491/),7.6,大卫·里恩,爱情 / 剧情,英国/美国
92,82,ＣＵＲＥ（黒沢清 / 《X圣治》（黑泽清，1998））,X圣治 CURE キュア,1997,[1304665](https://movie.douban.com/subject/1304665/),8.2,黑泽清,犯罪 / 恐怖 / 悬疑 / 惊悚,日本, ,68,惑星ソラリス / アンドレイ・タルコフスキー,飞向太空 Солярис,1972,[1300977](https://movie.douban.com/subject/1300977/),8.7,安德烈·塔可夫斯基,剧情 / 科幻 / 悬疑,苏联
93,82,沓掛時次郎　遊侠一匹（加藤泰 / 《沓挂时次郎，游侠一匹》（加藤泰，1966））,沓挂时次郎 游侠一匹 沓掛時次郎 遊侠一匹,1966,[1815629](https://movie.douban.com/subject/1815629/),6.8,加藤泰,动作 / 历史 / 冒险,日本, ,94,暗黒街のふたり（未見） / ジョゼ・ジョヴァンニ,推上断头台 Deux hommes dans la ville,1973,[1869208](https://movie.douban.com/subject/1869208/),7.7,何塞·乔凡尼,犯罪 / 剧情,法国/意大利
94,82,蜘蛛巣城（黒澤明 / 《蜘蛛巢城》（黑泽明，1975））,蜘蛛巢城 蜘蛛巣城,1957,[1294827](https://movie.douban.com/subject/1294827/),8.5,黑泽明,剧情 / 历史,日本, ,94,イースター・パレード（未見） / チャールズ・ウォーターズ,花开蝶满枝 Easter Parade,1948,[1295085](https://movie.douban.com/subject/1295085/),7.7,Charles Walters,歌舞 / 爱情,美国
95,82,狂った果実（中平康 / 《暴的果实》（中平康，1956））,疯狂的果实 狂った果実,1956,[1424640](https://movie.douban.com/subject/1424640/),7.1,中平康,剧情 / 情色,日本, ,94,怒りの葡萄 / ジョン・フォード,愤怒的葡萄 The Grapes of Wrath,1940,[1292465](https://movie.douban.com/subject/1292465/),8.5,约翰·福特,剧情 / 历史,美国
96,82,午後の遺言状（新藤兼人 / 《午后的遗言》（新藤兼人，1995））,午后的遗言 午後の遺言状,1995,[1303598](https://movie.douban.com/subject/1303598/),7.9,新藤兼人,剧情,日本, ,94,エクソシスト / ウィルアム・フリードキン,驱魔人 The Exorcist,1973,[1293755](https://movie.douban.com/subject/1293755/),7.7,威廉·弗莱德金,恐怖,美国
97,82,秋刀魚の味（小津安二郎 / 《秋刀鱼之味》（小津安二郎，19]]，1962））,秋刀鱼之味 秋刀魚の味,1962,[1294433](https://movie.douban.com/subject/1294433/),8.7,小津安二郎,剧情 / 家庭,日本, ,94,Ｍ / フリッツ・ラング,M就是凶手 M - Eine Stadt sucht einen Mörder,1931,[1293381](https://movie.douban.com/subject/1293381/),8.3,弗里茨·朗,剧情 / 犯罪 / 惊悚 / 黑色电影,德国
98,82,次郎長三国志（マキノ雅弘 / 《次郎长三国志》（牧野雅弘，1952－54））,丹下左膳,1953,[1959224](https://movie.douban.com/subject/1959224/), ,牧野正博, ,日本, ,94,Ｌ.Ａ.コンフィデンシャル / カーティス・ハンソン,洛城机密 L.A. Confidential,1997,[1292348](https://movie.douban.com/subject/1292348/),8.8,柯蒂斯·汉森,剧情 / 犯罪 / 悬疑 / 惊悚,美国
99,82,新宿泥棒日記（大島渚 / 《新宿小偷日记》（大岛渚，1983））,新宿小偷日记 新宿泥棒日記,1969,[1305045](https://movie.douban.com/subject/1305045/),7.1,大岛渚,喜剧 / 剧情,日本, ,94,エル・スール / ヴィクトル・エリセ,南方 El sur,1983,[1477717](https://movie.douban.com/subject/1477717/),8.3,维克多·艾里斯,剧情 / 爱情,西班牙/法国
100,82,砂の女（勅使河原宏 / 《砂之女》（敕使河原宏，1964））,砂之女 砂の女,1964,[1295812](https://movie.douban.com/subject/1295812/),8.6,敕使河原宏,剧情,日本, ,94,オルランド / サリー・ポッター,奥兰多 Orlando,1992,[1301895](https://movie.douban.com/subject/1301895/),8.2,莎莉·波特,剧情 / 爱情 / 奇幻,英国/俄罗斯/法国/意大利/荷兰
101,82,素晴らしき日曜日（黒澤明 / 《美好的星期天》（黑泽明，1947））,美好的星期天 素晴らしき日曜日,1947,[1295751](https://movie.douban.com/subject/1295751/),7.6,黑泽明,剧情 / 爱情,日本, ,94,カサブランカ / マイケル・カーティス,卡萨布兰卡 Casablanca,1942,[1296753](https://movie.douban.com/subject/1296753/),8.7,迈克尔·柯蒂兹,剧情 / 爱情 / 战争,美国
102,82,戦場のメリークリスマス（大島渚 / 《圣诞快乐，劳伦斯先生》（大岛渚，1983））,战场上的快乐圣诞 Merry Christmas Mr. Lawrence,1983,[1303535](https://movie.douban.com/subject/1303535/),8.8,大岛渚,剧情 / 战争 / 同性,英国/新西兰/日本, ,94,ギルバート・グレイプ / ラッセ・ハルストレム,不一样的天空 What's Eating Gilbert Grape,1993,[1301617](https://movie.douban.com/subject/1301617/),8.6,拉斯·霍尔斯道姆,剧情 / 爱情 / 家庭,美国
103,82,Ｗの悲劇（澤井信一郎 / 《W的悲剧》（泽井信一郎，1984））,W的悲剧 Wの悲劇,1984,[1304711](https://movie.douban.com/subject/1304711/),8.3,泽井信一郎,剧情,日本, ,94,クーリンチェ少年殺人事件（未見） / エドワード・ヤン,牯岭街少年杀人事件 牯嶺街少年殺人事件,1991,[1292329](https://movie.douban.com/subject/1292329/),8.9,杨德昌,剧情 / 犯罪,中国台湾
104,82,忠次旅日記・全三部（伊藤大輔 / 《忠治旅日记全三部》（伊藤大辅，1927））,忠次旅日记 忠次旅日記 第3部「御用篇」,1927,[1303982](https://movie.douban.com/subject/1303982/), ,伊藤大辅,剧情 / 动作,日本, ,94,クレイマー、クレイマー / ロバート・ベントン,克莱默夫妇 Kramer vs. Kramer,1979,[1300685](https://movie.douban.com/subject/1300685/),8.5,罗伯特·本顿,剧情 / 家庭,美国
105,82,ツィゴイネルワイゼン（鈴木清順 / 《流浪者之歌》（铃木清顺，1980））,流浪者之歌 ツィゴイネルワイゼン,1980,[1401329](https://movie.douban.com/subject/1401329/),7.7,铃木清顺,恐怖 / 悬疑,日本, ,94,刑事ジョン・ブック／目撃者 / ピーター・ウィアー,证人 Witness,1985,[1293229](https://movie.douban.com/subject/1293229/),7.1,彼得·威尔,剧情 / 爱情 / 惊悚,美国
106,82,椿三十郎（黒澤明 / 《穿心剑》（黑泽明，1962））,椿三十郎,1962,[1293310](https://movie.douban.com/subject/1293310/),8.8,黑泽明,剧情 / 喜剧 / 动作 / 犯罪 / 惊悚,日本, ,94,ゲッタウェイ / サム・ペキンパー,亡命大煞星 The Getaway,1972,[1298905](https://movie.douban.com/subject/1298905/),7.9,萨姆·佩金帕,动作 / 冒险 / 犯罪 / 惊悚,美国
107,82,東海道四谷怪談（中川信夫 / 《东海道四谷怪谈》（中川信夫，1959））,东海道四谷怪谈 東海道四谷怪談,1959,[1764190](https://movie.douban.com/subject/1764190/),7.4,中川信夫,恐怖,日本, ,94,サンセット大通り / ビリー・ワイルダー,日落大道 Sunset Blvd.,1950,[1298733](https://movie.douban.com/subject/1298733/),8.8,比利·怀尔德,剧情 / 黑色电影,美国
108,82,どついたるねん（阪本順治 / 《不要出口狂言》（阪本顺治，1989））,不要口出狂言 どついたるねん,1989,[1547199](https://movie.douban.com/subject/1547199/),7.6,阪本順治,剧情,日本, ,94,秋菊の物語 / チャン・イーモウ,秋菊打官司,1992,[1300108](https://movie.douban.com/subject/1300108/),8.2,张艺谋,剧情,中国大陆/中国香港
109,82,肉弾（岡本喜八 / 《肉弹》（冈本喜八，1968））,肉弹 肉弾,1968,[1459820](https://movie.douban.com/subject/1459820/),8,冈本喜八,剧情,日本, ,94,スケアクロウ / ジェリー・シャッツバーグ,稻草人 Scarecrow,1973,[1303512](https://movie.douban.com/subject/1303512/),7.9,杰瑞·沙茨伯格,剧情,美国
110,82,日本春歌考（大島渚 / 《日本春歌考》（大岛渚，1967））,日本春歌考,1967,[1301311](https://movie.douban.com/subject/1301311/),7.3,大岛渚,剧情,日本, ,94,素晴らしき哉人生 / フランク・キャプラ,生活多美好 It's a Wonderful Life,1946,[1293749](https://movie.douban.com/subject/1293749/),9.3,弗兰克·卡普拉,剧情 / 爱情 / 奇幻,美国
111,82,人間蒸発（今村昌平 / 《人间蒸发》（今村昌平，1967））,人间蒸发 人間蒸発,1967,[1306725](https://movie.douban.com/subject/1306725/),7.5,今村昌平,纪录片 / 剧情 / 悬疑,日本, ,94,大脱走 / ジョン・スタージェス,大逃亡 The Great Escape,1963,[1294947](https://movie.douban.com/subject/1294947/),8.3,约翰·斯特奇斯,剧情 / 历史 / 冒险,美国
112,82,八月の濡れた砂（藤田敏八 / 《八月湿润的砂》（藤田敏八，1971））,八月湿砂 八月の濡れた砂,1971,[1308298](https://movie.douban.com/subject/1308298/),6.6,藤田敏八,剧情,日本, ,94,ダンス・ウイズ・ウルブス / ケビン・コスナー,与狼共舞 Dances with Wolves,1990,[1293764](https://movie.douban.com/subject/1293764/),8.9,凯文·科斯特纳,剧情 / 西部 / 冒险,美国/英国
113,82,笛吹川（木下恵介 / 《笛吹川》（木下惠介，1960））,笛吹川,1960,[1401923](https://movie.douban.com/subject/1401923/),8.1,木下惠介,剧情 / 战争,日本, ,94,テルマ＆ルイーズ / リドリー・スコット,末路狂花 Thelma & Louise,1991,[1291992](https://movie.douban.com/subject/1291992/),8.9,雷德利·斯科特,犯罪 / 剧情 / 惊悚,美国/英国/法国
114,82,豚と軍艦（今村昌平 / 《豚与军舰》（今村昌平，1960））,猪与军舰 豚と軍艦,1961,[1420283](https://movie.douban.com/subject/1420283/),8.1,今村昌平,剧情 / 喜剧 / 犯罪,日本, ,94,天国の日々 / テンレス・マリック,天堂之日 Days of Heaven,1978,[1293232](https://movie.douban.com/subject/1293232/),7.9,泰伦斯·马力克,剧情 / 爱情,美国
115,82,真昼の暗黒（今井正 / 《正午的黑暗》（今井正，1956））,正午的黑暗 真昼の暗黒,1956,[1547206](https://movie.douban.com/subject/1547206/), ,今井正,剧情,日本, ,94,時計仕掛けのオレンジ / スタンリー・キューブリック,发条橙 A Clockwork Orange,1971,[1292233](https://movie.douban.com/subject/1292233/),8.6,斯坦利·库布里克,犯罪 / 剧情 / 科幻,英国/美国
116,82,めし（成瀬巳喜男 / 《饭》（成濑巳喜男，1951））,饭 めし,1951,[1424618](https://movie.douban.com/subject/1424618/),8.2,成濑巳喜男,剧情,日本, ,94,鳥 / アルフレッド・ヒッチコック,群鸟 The Birds,1963,[1310175](https://movie.douban.com/subject/1310175/),8.1,阿尔弗雷德·希区柯克,悬疑 / 惊悚 / 灾难,美国
117,82,酔いどれ天使（黒澤明 / 《酩酊天使》（黑泽明，1948））,泥醉天使 醉いどれ天使,1948,[1294859](https://movie.douban.com/subject/1294859/),8.1,黑泽明,犯罪 / 剧情,日本, ,94,ノスタルジア / アンドレイ・タルコフスキー,乡愁 Ностальгия,1983,[1291556](https://movie.douban.com/subject/1291556/),9.1,安德烈·塔可夫斯基,剧情,苏联/意大利
118,82,私が棄てた女（浦山桐郎 / 《被遗弃的女人》（浦山桐郎，1969））,被我遗弃的女人 私が棄てた女,1969,[1305402](https://movie.douban.com/subject/1305402/), ,浦山桐郎,剧情,日本, ,94,ファーゴ / ジョエル・コーエン,冰血暴 Fargo,1996,[1292067](https://movie.douban.com/subject/1292067/),8,乔尔·科恩,犯罪 / 剧情 / 惊悚,美国/英国
119, , , , , , , , , , ,94,博士の異常な愛情 / スタンリー・キューブリック,奇爱博士 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,[1322848](https://movie.douban.com/subject/1322848/),8.9,斯坦利·库布里克,剧情 / 喜剧 / 战争,美国/英国
120, , , , , , , , , , ,94,巴里祭 / ルネ・クレール,七月十四日 Quatorze Juillet,1933,[3026902](https://movie.douban.com/subject/3026902/), ,雷内·克莱尔,喜剧 / 爱情,法国
121, , , , , , , , , , ,94,巴里のアメリカ人 / ヴィンセント・ミネリ,一个美国人在巴黎 An American in Paris,1951,[1316522](https://movie.douban.com/subject/1316522/),7.1,文森特·明奈利,剧情 / 爱情 / 歌舞,美国
122, , , , , , , , , , ,94,めまい / アルフレッド・ヒッチコック,迷魂记 Vertigo,1958,[1297294](https://movie.douban.com/subject/1297294/),8.7,阿尔弗雷德·希区柯克,爱情 / 悬疑 / 惊悚,美国
123, , , , , , , , , , ,94,ライアンの娘 / デヴィッド・リーン,雷恩的女儿 Ryan's Daughter,1970,[1292210](https://movie.douban.com/subject/1292210/),8.2,大卫·里恩,剧情 / 爱情,英国
124, , , , , , , , , , ,94,ライムライト / チャールズ・チャップリン,舞台春秋 Limelight,1952,[1296659](https://movie.douban.com/subject/1296659/),8.9,查理·卓别林,喜剧 / 剧情 / 音乐 / 爱情,美国
125, , , , , , , , , , ,94,恋恋風塵 / ホウ・シャオシエン,恋恋风尘 戀戀風塵,1986,[1292330](https://movie.douban.com/subject/1292330/),8.7,侯孝贤,剧情 / 爱情,中国台湾
126, , , , , , , , , , ,94,わが谷は緑なりき / ジョン・フォード,青山翠谷 How Green Was My Valley,1941,[1293322](https://movie.douban.com/subject/1293322/),8.3,约翰·福特,剧情 / 家庭,美国
127, , , , , , , , , , ,94,わらの犬 / サム・ペキンパー,稻草狗 Straw Dogs,1971,[1293028](https://movie.douban.com/subject/1293028/),7.5,萨姆·佩金帕,剧情 / 惊悚,英国/美国
128, , , , , , , , , , ,94,ワンス・アポン・ア・タイム・イン・アメリカ / セルジオ・レオーネ,美国往事 Once Upon a Time in America,1984,[1292262](https://movie.douban.com/subject/1292262/),9.2,赛尔乔·莱昂内,犯罪 / 剧情,美国/意大利